"","Study_ID","PFAS","species","location","PFOA_mean","TL_mean","PFUnDA_mean","log_PFOA_mean","log_PFUnDA_mean","PFOA_sd","PFUnDA_sd","log_PFOA_sd","log_PFUnDA_sd"
"1","S_052","PFOA","species1","location 5",1.213181551,2.595814978,NA,0.0839257973196197,NA,0.487084556,NA,0.174366429094416,NA
"2","S_052","PFOA","species2","location 5",1.298822791,2.645374449,NA,0.113549900772176,NA,0.133814438,NA,0.0447442656727948,NA
"3","S_052","PFOA","species3","location 5",1.009783604,3.101321586,NA,0.00422831471544404,NA,0.04282062,NA,0.0184165784669207,NA
"4","S_052","PFOA","species4","location 5",1.041899069,3.299559471,NA,0.0178256499621425,NA,0.155224749,NA,0.0647022863838621,NA
"5","S_052","PFOA","species5","location 5",0.977668139,3.5969163,NA,-0.00980853770662404,NA,0.074936086,NA,0.033287705047354,NA
"6","S_052","PFUnDA","species1","location 5",NA,2.598039216,0.69527897,NA,-0.15784090645658,NA,0.157725322,NA,0.0985205075324133
"7","S_052","PFUnDA","species2","location 5",NA,2.647058824,0.762875536,NA,-0.117546311897863,NA,0.222103004,NA,0.126440165530929
"8","S_052","PFUnDA","species3","location 5",NA,3.104575163,0.431330472,NA,-0.365189859373223,NA,0.106223176,NA,0.106953118737778
"9","S_052","PFUnDA","species4","location 5",NA,3.303921569,0.473175966,NA,-0.324977322578887,NA,0.090128755,NA,0.0827227580644071
"10","S_052","PFUnDA","species5","location 5",NA,3.598039216,0.418454936,NA,-0.378351304935504,NA,0.093347639,NA,0.0968810761414863
