"","Study_ID","filename","group_id","plot_type","software","TL_mean","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean"
"1","S_021","Chen_2018","PFDA species 1","Scatter plot","Webplot Digitiser",1.836601307,NA,-1.166932946,NA,NA
"2","S_021","Chen_2018","PFDA species 2","Scatter plot","Webplot Digitiser",2.006535948,NA,-0.456451222,NA,NA
"3","S_021","Chen_2018","PFDA species 3","Scatter plot","Webplot Digitiser",3.091503268,NA,-0.712321472,NA,NA
"4","S_021","Chen_2018","PFDA species 4","Scatter plot","Webplot Digitiser",3.156862745,NA,-0.060711692,NA,NA
"5","S_021","Chen_2018","PFDA species 5","Scatter plot","Webplot Digitiser",2.816993464,NA,0.355361898,NA,NA
"6","S_021","Chen_2018","PFDA species 6","Scatter plot","Webplot Digitiser",2.477124183,NA,0.312176229,NA,NA
"7","S_021","Chen_2018","PFDA species 7","Scatter plot","Webplot Digitiser",3,NA,0.710239651,NA,NA
"8","S_021","Chen_2018","PFDA species 8","Scatter plot","Webplot Digitiser",3.261437908,NA,0.753715807,NA,NA
"9","S_021","Chen_2018","PFDA species 9","Scatter plot","Webplot Digitiser",3.222222222,NA,0.872379569,NA,NA
"10","S_021","Chen_2018","PFDA species 10","Scatter plot","Webplot Digitiser",3.444444444,NA,0.590075042,NA,NA
"11","S_021","Chen_2018","PFDA species 11","Scatter plot","Webplot Digitiser",3.679738562,NA,0.604018397,NA,NA
"12","S_021","Chen_2018","PFDA species 12","Scatter plot","Webplot Digitiser",3.732026144,NA,0.929750666,NA,NA
"13","S_021","Chen_2018","PFDA species 13","Scatter plot","Webplot Digitiser",3.444444444,NA,1.034519487,NA,NA
"14","S_021","Chen_2018","PFDA species 14","Scatter plot","Webplot Digitiser",3.888888889,NA,1.077317841,NA,NA
"15","S_021","Chen_2018","PFDA species 15","Scatter plot","Webplot Digitiser",3.705882353,NA,1.448366013,NA,NA
"16","S_021","Chen_2018","PFDA species 16","Scatter plot","Webplot Digitiser",3.901960784,NA,1.773565723,NA,NA
"17","S_021","Chen_2018","PFDA species 17","Scatter plot","Webplot Digitiser",3.888888889,NA,2.129169693,NA,NA
"18","S_021","Chen_2018","PFDA species 18","Scatter plot","Webplot Digitiser",3.77124183,NA,2.174049867,NA,NA
"19","S_021","Chen_2018","PFDA species 19","Scatter plot","Webplot Digitiser",4.777777778,NA,0.407358993,NA,NA
"20","S_021","Chen_2018","PFUnDA species 1","Scatter plot","Webplot Digitiser",1.815533981,NA,NA,-1.82038835,NA
"21","S_021","Chen_2018","PFUnDA species 2","Scatter plot","Webplot Digitiser",1.996763754,NA,NA,-1.558252427,NA
