"","Study_ID","filename","group_id","plot_type","software","TL_mean","log_PFOS_mean","log_PFBA_mean","log_PFHxA_mean","log_PFOA_mean","log_PFUnDA_mean","log_PFTrDA_mean","log_PFBS_mean"
"1","S_023","Du_2021","PFBA, species 1","Scatter plot","Webplot Digitiser",1.985503904,NA,1.142293241,NA,NA,NA,NA,NA
"2","S_023","Du_2021","PFBA, species 2","Scatter plot","Webplot Digitiser",2.089463427,NA,0.471358229,NA,NA,NA,NA,NA
"3","S_023","Du_2021","PFBA, species 3","Scatter plot","Webplot Digitiser",2.215632814,NA,1.693271479,NA,NA,NA,NA,NA
"4","S_023","Du_2021","PFBA, species 4","Scatter plot","Webplot Digitiser",2.648417683,NA,0.271419722,NA,NA,NA,NA,NA
"5","S_023","Du_2021","PFBA, species 5","Scatter plot","Webplot Digitiser",2.759720206,NA,-0.902368389,NA,NA,NA,NA,NA
"6","S_023","Du_2021","PFBA, species 6","Scatter plot","Webplot Digitiser",2.961146304,NA,1.295230215,NA,NA,NA,NA,NA
"7","S_023","Du_2021","PFBA, species 7","Scatter plot","Webplot Digitiser",3.065340948,NA,0.49612503,NA,NA,NA,NA,NA
"8","S_023","Du_2021","PFBA, species 8","Scatter plot","Webplot Digitiser",3.112148054,NA,-0.519598667,NA,NA,NA,NA,NA
"9","S_023","Du_2021","PFBA, species 9","Scatter plot","Webplot Digitiser",3.227972129,NA,-0.6581978,NA,NA,NA,NA,NA
"10","S_023","Du_2021","PFBA, species 10","Scatter plot","Webplot Digitiser",3.303102237,NA,0.386502263,NA,NA,NA,NA,NA
"11","S_023","Du_2021","PFBA, species 11","Scatter plot","Webplot Digitiser",3.604436547,NA,0.621636531,NA,NA,NA,NA,NA
"12","S_023","Du_2021","PFBA, species 12","Scatter plot","Webplot Digitiser",3.515018335,NA,0.365739296,NA,NA,NA,NA,NA
"13","S_023","Du_2021","PFBA, species 13","Scatter plot","Webplot Digitiser",3.490167885,NA,-0.087659328,NA,NA,NA,NA,NA
"14","S_023","Du_2021","PFBA, species 14","Scatter plot","Webplot Digitiser",3.439164779,NA,-0.284591003,NA,NA,NA,NA,NA
"15","S_023","Du_2021","PFBA, species 15","Scatter plot","Webplot Digitiser",3.516501404,NA,-0.442718719,NA,NA,NA,NA,NA
"16","S_023","Du_2021","PFBA, species 16","Scatter plot","Webplot Digitiser",3.567721545,NA,-0.364097973,NA,NA,NA,NA,NA
"17","S_023","Du_2021","PFHxA, species 1","Scatter plot","Webplot Digitiser",2.007000138,NA,NA,3.700564972,NA,NA,NA,NA
"18","S_023","Du_2021","PFHxA, species 2","Scatter plot","Webplot Digitiser",2.123191401,NA,NA,3.248587571,NA,NA,NA,NA
"19","S_023","Du_2021","PFHxA, species 3","Scatter plot","Webplot Digitiser",2.259997244,NA,NA,3.361581921,NA,NA,NA,NA
"20","S_023","Du_2021","PFHxA, species 4","Scatter plot","Webplot Digitiser",2.659501171,NA,NA,-1.892655367,NA,NA,NA,NA
"21","S_023","Du_2021","PFHxA, species 5","Scatter plot","Webplot Digitiser",2.798952735,NA,NA,-0.423728814,NA,NA,NA,NA
"22","S_023","Du_2021","PFHxA, species 6","Scatter plot","Webplot Digitiser",2.978310597,NA,NA,1.497175141,NA,NA,NA,NA
"23","S_023","Du_2021","PFHxA, species 7","Scatter plot","Webplot Digitiser",3.080942538,NA,NA,0.762711864,NA,NA,NA,NA
