"","Study_ID","filename","group_id","software","TL_mean","PFUnDA_mean","PFOS_mean","PFDoDA_mean","log_PFDoDA_mean","log_PFOS_mean","log_PFUnDA_mean"
"1","S_047","Heimstad_2024","PFOS, species 1","Raw data extracted from Figure S10",0.879104478,NA,4.460928756,NA,NA,0.649425287325199,NA
"2","S_047","Heimstad_2024","PFOS, species 2","Raw data extracted from Figure S10",1.313432836,NA,52.28664844,NA,NA,1.71839080456319,NA
"3","S_047","Heimstad_2024","PFOS, species 3","Raw data extracted from Figure S10",1.380597015,NA,495.9093525,NA,NA,2.69540229885542,NA
"4","S_047","Heimstad_2024","PFOS, species 4","Raw data extracted from Figure S10",1.32238806,NA,6.995642157,NA,NA,0.844827586224737,NA
"5","S_047","Heimstad_2024","PFOS, species 5","Raw data extracted from Figure S10",1.210447761,NA,42.30939173,NA,NA,1.62643678164887,NA
"6","S_047","Heimstad_2024","PFOS, species 6","Raw data extracted from Figure S10",1.488059701,NA,65.47747961,NA,NA,1.81609195399379,NA
"7","S_047","Heimstad_2024","PFOS, species 7","Raw data extracted from Figure S10",1.456716418,NA,18.38094418,NA,NA,1.26436781617045,NA
"8","S_047","Heimstad_2024","PFOS, species 8","Raw data extracted from Figure S10",1.582089552,NA,0.841952045,NA,NA,-0.0747126438744333,NA
"9","S_047","Heimstad_2024","PFOS, species 9","Raw data extracted from Figure S10",1.792537313,NA,0.551288979,NA,NA,-0.258620689558329,NA
"10","S_047","Heimstad_2024","PFOS, species 10","Raw data extracted from Figure S10",2.392537313,NA,14.48503471,NA,NA,1.16091954022624,NA
"11","S_047","Heimstad_2024","PFOS, species 11","Raw data extracted from Figure S10",2.347761194,NA,8.531678524,NA,NA,0.931034482749824,NA
"12","S_047","Heimstad_2024","PFOS, species 12","Raw data extracted from Figure S10",2.276119403,NA,57.3615251,NA,NA,1.7586206896212,NA
"13","S_047","Heimstad_2024","PFOS, species 13","Raw data extracted from Figure S10",1.985074627,NA,8.645330674,NA,NA,0.936781609194327,NA
"14","S_047","Heimstad_2024","PFOS, species 14","Raw data extracted from Figure S10",2.01641791,NA,6.37672519,NA,NA,0.804597701127408,NA
"15","S_047","Heimstad_2024","PFOS, species 15","Raw data extracted from Figure S10",2.155223881,NA,3.16227766,NA,NA,0.499999999976875,NA
"16","S_047","Heimstad_2024","PFOS, species 16","Raw data extracted from Figure S10",2.231343284,NA,3.423597958,NA,NA,0.534482758670469,NA
"17","S_047","Heimstad_2024","PFOS, species 17","Raw data extracted from Figure S10",2.285074627,NA,3.039195382,NA,NA,0.4827586206449,NA
"18","S_047","Heimstad_2024","PFOS, species 18","Raw data extracted from Figure S10",2.025373134,NA,4.959093525,NA,NA,0.695402298855419,NA
"19","S_047","Heimstad_2024","PFOS, species 19","Raw data extracted from Figure S10",1.73880597,NA,6.547747961,NA,NA,0.816091953993787,NA
"20","S_047","Heimstad_2024","PFOS, species 20","Raw data extracted from Figure S10",1.729850746,NA,26.27484906,NA,NA,1.41954022983454,NA
"21","S_047","Heimstad_2024","PFOS, species 21","Raw data extracted from Figure S10",1.886567164,NA,33.34175883,NA,NA,1.52298850581041,NA
"22","S_047","Heimstad_2024","PFOS, species 22","Raw data extracted from Figure S10",2.226865672,NA,32.90344562,NA,NA,1.51724137926908,NA
"23","S_047","Heimstad_2024","PFOS, species 23","Raw data extracted from Figure S10",2.33880597,NA,32.04402976,NA,NA,1.50574712640355,NA
"24","S_047","Heimstad_2024","PFOS, species 24","Raw data extracted from Figure S10",2.374626866,NA,50.25154575,NA,NA,1.70114942530388,NA
"25","S_047","Heimstad_2024","PFOS, species 25","Raw data extracted from Figure S10",2.464179104,NA,62.92896294,NA,NA,1.79885057469764,NA
"26","S_047","Heimstad_2024","PFOS, species 26","Raw data extracted from Figure S10",2.517910448,NA,59.68456995,NA,NA,1.77586206895662,NA
"27","S_047","Heimstad_2024","PFOS, species 27","Raw data extracted from Figure S10",2.495522388,NA,118.77161,NA,NA,2.07471264355932,NA
"28","S_047","Heimstad_2024","PFOS, species 28","Raw data extracted from Figure S10",2.540298507,NA,961.0779662,NA,NA,2.98275862067267,NA
"29","S_047","Heimstad_2024","PFOS, species 29","Raw data extracted from Figure S10",2.540298507,NA,604.7963972,NA,NA,2.78160919538862,NA
"30","S_047","Heimstad_2024","PFOS, species 30","Raw data extracted from Figure S10",2.629850746,NA,236.3541425,NA,NA,2.37356321843976,NA
"31","S_047","Heimstad_2024","PFOS, species 31","Raw data extracted from Figure S10",2.334328358,NA,163.1712641,NA,NA,2.21264367805973,NA
"32","S_047","Heimstad_2024","PFOS, species 32","Raw data extracted from Figure S10",2.347761194,NA,0.346920437,NA,NA,-0.459770115220236,NA
"33","S_047","Heimstad_2024","PFOS, species 33","Raw data extracted from Figure S10",2.352238806,NA,3.657786821,NA,NA,0.56321839081749,NA
"34","S_047","Heimstad_2024","PFOS, species 34","Raw data extracted from Figure S10",2.302985075,NA,6.37672519,NA,NA,0.804597701127408,NA
"35","S_047","Heimstad_2024","PFOS, species 35","Raw data extracted from Figure S10",2.414925373,NA,7.183264184,NA,NA,0.856321839083106,NA
"36","S_047","Heimstad_2024","PFOS, species 36","Raw data extracted from Figure S10",2.517910448,NA,9.738806728,NA,NA,0.988505747105256,NA
"37","S_047","Heimstad_2024","PFOS, species 37","Raw data extracted from Figure S10",2.656716418,NA,11.41487774,NA,NA,1.0574712643039,NA
"38","S_047","Heimstad_2024","PFOS, species 38","Raw data extracted from Figure S10",2.728358209,NA,18.13930694,NA,NA,1.25862068967647,NA
"39","S_047","Heimstad_2024","PFOS, species 39","Raw data extracted from Figure S10",2.755223881,NA,21.83134334,NA,NA,1.33908045981357,NA
"40","S_047","Heimstad_2024","PFOS, species 40","Raw data extracted from Figure S10",2.714925373,NA,26.62486144,NA,NA,1.42528735631534,NA
"41","S_047","Heimstad_2024","PFOS, species 41","Raw data extracted from Figure S10",2.714925373,NA,45.20353656,NA,NA,1.65517241375849,NA
"42","S_047","Heimstad_2024","PFOS, species 42","Raw data extracted from Figure S10",2.768656716,NA,42.87300337,NA,NA,1.63218390808097,NA
"43","S_047","Heimstad_2024","PFOS, species 43","Raw data extracted from Figure S10",2.746268657,NA,33.78591088,NA,NA,1.52873563215029,NA
"44","S_047","Heimstad_2024","PFOS, species 44","Raw data extracted from Figure S10",2.808955224,NA,32.47089452,NA,NA,1.51149425289298,NA
"45","S_047","Heimstad_2024","PFOS, species 45","Raw data extracted from Figure S10",2.849253731,NA,27.33893606,NA,NA,1.43678160927124,NA
"46","S_047","Heimstad_2024","PFOS, species 46","Raw data extracted from Figure S10",2.831343284,NA,22.41685655,NA,NA,1.35057471268793,NA
"47","S_047","Heimstad_2024","PFOS, species 47","Raw data extracted from Figure S10",2.889552239,NA,17.66552045,NA,NA,1.24712643685909,NA
"48","S_047","Heimstad_2024","PFOS, species 48","Raw data extracted from Figure S10",2.947761194,NA,16.10262028,NA,NA,1.20689655184255,NA
"49","S_047","Heimstad_2024","PFOS, species 49","Raw data extracted from Figure S10",3.028358209,NA,14.10669535,NA,NA,1.14942528736517,NA
"50","S_047","Heimstad_2024","PFOS, species 50","Raw data extracted from Figure S10",2.643283582,NA,11.11672882,NA,NA,1.04597701166852,NA
"51","S_047","Heimstad_2024","PFOS, species 51","Raw data extracted from Figure S10",2.867164179,NA,11.56693755,NA,NA,1.06321839082851,NA
"52","S_047","Heimstad_2024","PFOS, species 52","Raw data extracted from Figure S10",2.804477612,NA,11.11672882,NA,NA,1.04597701166852,NA
"53","S_047","Heimstad_2024","PFOS, species 53","Raw data extracted from Figure S10",2.835820896,NA,9.484435649,NA,NA,0.977011494231859,NA
"54","S_047","Heimstad_2024","PFOS, species 54","Raw data extracted from Figure S10",2.835820896,NA,7.674630429,NA,NA,0.885057471248846,NA
"55","S_047","Heimstad_2024","PFOS, species 55","Raw data extracted from Figure S10",2.867164179,NA,5.440416936,NA,NA,0.735632183901398,NA
"56","S_047","Heimstad_2024","PFOS, species 56","Raw data extracted from Figure S10",2.934328358,NA,4.120429888,NA,NA,0.614942528714377,NA
"57","S_047","Heimstad_2024","PFOS, species 57","Raw data extracted from Figure S10",2.992537313,NA,3.204402976,NA,NA,0.505747126403554,NA
"58","S_047","Heimstad_2024","PFOS, species 58","Raw data extracted from Figure S10",3.010447761,NA,3.960054377,NA,NA,0.597701149427761,NA
"59","S_047","Heimstad_2024","PFOS, species 59","Raw data extracted from Figure S10",3.028358209,NA,1.126481692,NA,NA,0.0517241378015397,NA
"60","S_047","Heimstad_2024","PFOS, species 60","Raw data extracted from Figure S10",2.970149254,NA,47.03420342,NA,NA,1.67241379313128,NA
"61","S_047","Heimstad_2024","PFOS, species 61","Raw data extracted from Figure S10",2.907462687,NA,41.20429888,NA,NA,1.61494252871438,NA
"62","S_047","Heimstad_2024","PFOS, species 62","Raw data extracted from Figure S10",2.876119403,NA,27.70312334,NA,NA,1.44252873559365,NA
"63","S_047","Heimstad_2024","PFOS, species 63","Raw data extracted from Figure S10",2.826865672,NA,71.83264184,NA,NA,1.85632183908311,NA
"64","S_047","Heimstad_2024","PFOS, species 64","Raw data extracted from Figure S10",2.889552239,NA,55.86328066,NA,NA,1.74712643674805,NA
