"","Study_ID","filename","PFAS","tissue","species","software","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_FOSA_mean","delta_15N_mean","ln_62ClPFESA_mean","ln_82ClPFESA_mean","ln_102ClPFESA_mean","ln_103FTCA_mean"
"1","S_059","Jiao_2023","PFDA","blood","species 1","Raw data extracted from Figure 4",NA,-1.066976436,NA,NA,NA,NA,7.888791146,NA,NA,NA,NA
"2","S_059","Jiao_2023","PFDA","blood","species 2","Raw data extracted from Figure 4",NA,2.643494083,NA,NA,NA,NA,7.878189802,NA,NA,NA,NA
"3","S_059","Jiao_2023","PFDA","blood","species 3","Raw data extracted from Figure 4",NA,0.372550789,NA,NA,NA,NA,11.39896393,NA,NA,NA,NA
"4","S_059","Jiao_2023","PFDA","blood","species 4","Raw data extracted from Figure 4",NA,1.474789853,NA,NA,NA,NA,10.8243861,NA,NA,NA,NA
"5","S_059","Jiao_2023","PFDA","blood","species 5","Raw data extracted from Figure 4",NA,1.633434084,NA,NA,NA,NA,10.96678997,NA,NA,NA,NA
"6","S_059","Jiao_2023","PFDA","blood","species 6","Raw data extracted from Figure 4",NA,3.34483692,NA,NA,NA,NA,11.13332882,NA,NA,NA,NA
"7","S_059","Jiao_2023","PFDA","blood","species 7","Raw data extracted from Figure 4",NA,4.167080194,NA,NA,NA,NA,12.35955098,NA,NA,NA,NA
"8","S_059","Jiao_2023","PFDA","blood","species 8","Raw data extracted from Figure 4",NA,2.66544864,NA,NA,NA,NA,12.04955565,NA,NA,NA,NA
"9","S_059","Jiao_2023","PFDA","blood","species 9","Raw data extracted from Figure 4",NA,2.191320431,NA,NA,NA,NA,11.96519601,NA,NA,NA,NA
"10","S_059","Jiao_2023","PFDA","blood","species 10","Raw data extracted from Figure 4",NA,1.776289078,NA,NA,NA,NA,13.10923896,NA,NA,NA,NA
"11","S_059","Jiao_2023","PFDA","blood","species 11","Raw data extracted from Figure 4",NA,1.301108254,NA,NA,NA,NA,12.82488233,NA,NA,NA,NA
"12","S_059","Jiao_2023","PFDA","gill","species 1","Raw data extracted from Figure 4",NA,-4.606299213,NA,NA,NA,NA,7.964285714,NA,NA,NA,NA
"13","S_059","Jiao_2023","PFDA","gill","species 2","Raw data extracted from Figure 4",NA,3.057742782,NA,NA,NA,NA,8,NA,NA,NA,NA
"14","S_059","Jiao_2023","PFDA","gill","species 3","Raw data extracted from Figure 4",NA,2.611548556,NA,NA,NA,NA,11.89285714,NA,NA,NA,NA
"15","S_059","Jiao_2023","PFDA","gill","species 4","Raw data extracted from Figure 4",NA,1.56167979,NA,NA,NA,NA,11.71428571,NA,NA,NA,NA
"16","S_059","Jiao_2023","PFDA","gill","species 5","Raw data extracted from Figure 4",NA,0.984251969,NA,NA,NA,NA,12.39285714,NA,NA,NA,NA
"17","S_059","Jiao_2023","PFDA","gill","species 6","Raw data extracted from Figure 4",NA,2.007874016,NA,NA,NA,NA,13.10714286,NA,NA,NA,NA
"18","S_059","Jiao_2023","PFDA","gill","species 7","Raw data extracted from Figure 4",NA,3.005249344,NA,NA,NA,NA,13.21428571,NA,NA,NA,NA
"19","S_059","Jiao_2023","PFDA","gill","species 8","Raw data extracted from Figure 4",NA,3.530183727,NA,NA,NA,NA,13.60714286,NA,NA,NA,NA
"20","S_059","Jiao_2023","PFDA","gill","species 9","Raw data extracted from Figure 4",NA,2.427821522,NA,NA,NA,NA,14.21428571,NA,NA,NA,NA
"21","S_059","Jiao_2023","PFDA","gill","species 10","Raw data extracted from Figure 4",NA,2.559055118,NA,NA,NA,NA,14.5,NA,NA,NA,NA
"22","S_059","Jiao_2023","PFDA","heart","species 1","Raw data extracted from Figure 4",NA,3.293963255,NA,NA,NA,NA,8,NA,NA,NA,NA
"23","S_059","Jiao_2023","PFDA","heart","species 2","Raw data extracted from Figure 4",NA,2.532808399,NA,NA,NA,NA,11.67857143,NA,NA,NA,NA
"24","S_059","Jiao_2023","PFDA","heart","species 3","Raw data extracted from Figure 4",NA,2.375328084,NA,NA,NA,NA,12.39285714,NA,NA,NA,NA
"25","S_059","Jiao_2023","PFDA","heart","species 4","Raw data extracted from Figure 4",NA,3.976377953,NA,NA,NA,NA,13.21428571,NA,NA,NA,NA
"26","S_059","Jiao_2023","PFDA","heart","species 5","Raw data extracted from Figure 4",NA,3.005249344,NA,NA,NA,NA,14.17857143,NA,NA,NA,NA
"27","S_059","Jiao_2023","PFDA","heart","species 6","Raw data extracted from Figure 4",NA,2.769028871,NA,NA,NA,NA,14.5,NA,NA,NA,NA
"28","S_059","Jiao_2023","PFDA","heart","species 7","Raw data extracted from Figure 4",NA,2.50656168,NA,NA,NA,NA,13.07142857,NA,NA,NA,NA
"29","S_059","Jiao_2023","PFDA","liver","species 1","Raw data extracted from Figure 4",NA,-4.580052493,NA,NA,NA,NA,5.571428571,NA,NA,NA,NA
"30","S_059","Jiao_2023","PFDA","liver","species 2","Raw data extracted from Figure 4",NA,2.532808399,NA,NA,NA,NA,8.035714286,NA,NA,NA,NA
"31","S_059","Jiao_2023","PFDA","liver","species 3","Raw data extracted from Figure 4",NA,0.538057743,NA,NA,NA,NA,11.71428571,NA,NA,NA,NA
"32","S_059","Jiao_2023","PFDA","liver","species 4","Raw data extracted from Figure 4",NA,1.299212598,NA,NA,NA,NA,11.89285714,NA,NA,NA,NA
"33","S_059","Jiao_2023","PFDA","liver","species 5","Raw data extracted from Figure 4",NA,3.188976378,NA,NA,NA,NA,12.10714286,NA,NA,NA,NA
"34","S_059","Jiao_2023","PFDA","liver","species 6","Raw data extracted from Figure 4",NA,2.50656168,NA,NA,NA,NA,12.42857143,NA,NA,NA,NA
"35","S_059","Jiao_2023","PFDA","liver","species 7","Raw data extracted from Figure 4",NA,2.480314961,NA,NA,NA,NA,13.14285714,NA,NA,NA,NA
"36","S_059","Jiao_2023","PFDA","liver","species 8","Raw data extracted from Figure 4",NA,3.42519685,NA,NA,NA,NA,13.21428571,NA,NA,NA,NA
"37","S_059","Jiao_2023","PFDA","liver","species 9","Raw data extracted from Figure 4",NA,4.868766404,NA,NA,NA,NA,13.60714286,NA,NA,NA,NA
"38","S_059","Jiao_2023","PFDA","liver","species 10","Raw data extracted from Figure 4",NA,3.74015748,NA,NA,NA,NA,14.57142857,NA,NA,NA,NA
"39","S_059","Jiao_2023","PFDA","liver","species 11","Raw data extracted from Figure 4",NA,2.270341207,NA,NA,NA,NA,14.17857143,NA,NA,NA,NA
"40","S_059","Jiao_2023","PFUnDA","blood","species 1","Raw data extracted from Figure 4",NA,NA,-4.59592371,NA,NA,NA,8,NA,NA,NA,NA
"41","S_059","Jiao_2023","PFUnDA","blood","species 2","Raw data extracted from Figure 4",NA,NA,-0.159124907,NA,NA,NA,5.571428571,NA,NA,NA,NA
"42","S_059","Jiao_2023","PFUnDA","blood","species 3","Raw data extracted from Figure 4",NA,NA,2.786462229,NA,NA,NA,7.964285714,NA,NA,NA,NA
"43","S_059","Jiao_2023","PFUnDA","blood","species 4","Raw data extracted from Figure 4",NA,NA,1.929319372,NA,NA,NA,11.67857143,NA,NA,NA,NA
"44","S_059","Jiao_2023","PFUnDA","blood","species 5","Raw data extracted from Figure 4",NA,NA,1.951944652,NA,NA,NA,12.35714286,NA,NA,NA,NA
"45","S_059","Jiao_2023","PFUnDA","blood","species 6","Raw data extracted from Figure 4",NA,NA,2.628272251,NA,NA,NA,13.17857143,NA,NA,NA,NA
"46","S_059","Jiao_2023","PFUnDA","blood","species 7","Raw data extracted from Figure 4",NA,NA,1.916043381,NA,NA,NA,14.21428571,NA,NA,NA,NA
"47","S_059","Jiao_2023","PFUnDA","blood","species 8","Raw data extracted from Figure 4",NA,NA,2.569184742,NA,NA,NA,14.46428571,NA,NA,NA,NA
"48","S_059","Jiao_2023","PFUnDA","blood","species 9","Raw data extracted from Figure 4",NA,NA,4.903515333,NA,NA,NA,13.60714286,NA,NA,NA,NA
"49","S_059","Jiao_2023","PFUnDA","blood","species 10","Raw data extracted from Figure 4",NA,NA,3.681002244,NA,NA,NA,12.10714286,NA,NA,NA,NA
"50","S_059","Jiao_2023","PFUnDA","blood","species 11","Raw data extracted from Figure 4",NA,NA,2.556282723,NA,NA,NA,11.92857143,NA,NA,NA,NA
"51","S_059","Jiao_2023","PFUnDA","heart","species 1","Raw data extracted from Figure 4",NA,NA,3.676327599,NA,NA,NA,8,NA,NA,NA,NA
"52","S_059","Jiao_2023","PFUnDA","heart","species 2","Raw data extracted from Figure 4",NA,NA,3.864061331,NA,NA,NA,12.14285714,NA,NA,NA,NA
"53","S_059","Jiao_2023","PFUnDA","heart","species 3","Raw data extracted from Figure 4",NA,NA,3.470082274,NA,NA,NA,12.39285714,NA,NA,NA,NA
"54","S_059","Jiao_2023","PFUnDA","heart","species 4","Raw data extracted from Figure 4",NA,NA,3.001495886,NA,NA,NA,11.89285714,NA,NA,NA,NA
"55","S_059","Jiao_2023","PFUnDA","heart","species 5","Raw data extracted from Figure 4",NA,NA,2.767015707,NA,NA,NA,11.67857143,NA,NA,NA,NA
"56","S_059","Jiao_2023","PFUnDA","heart","species 6","Raw data extracted from Figure 4",NA,NA,3.380516081,NA,NA,NA,14.5,NA,NA,NA,NA
"57","S_059","Jiao_2023","PFUnDA","heart","species 7","Raw data extracted from Figure 4",NA,NA,3.696148093,NA,NA,NA,14.21428571,NA,NA,NA,NA
"58","S_059","Jiao_2023","PFUnDA","heart","species 8","Raw data extracted from Figure 4",NA,NA,4.513089005,NA,NA,NA,13.17857143,NA,NA,NA,NA
"59","S_059","Jiao_2023","PFUnDA","heart","species 9","Raw data extracted from Figure 4",NA,NA,3.702318624,NA,NA,NA,13.03571429,NA,NA,NA,NA
"60","S_059","Jiao_2023","PFUnDA","kidney","species 1","Raw data extracted from Figure 4",NA,NA,4.121353777,NA,NA,NA,8,NA,NA,NA,NA
"61","S_059","Jiao_2023","PFUnDA","kidney","species 2","Raw data extracted from Figure 4",NA,NA,4.780478684,NA,NA,NA,12.10714286,NA,NA,NA,NA
"62","S_059","Jiao_2023","PFUnDA","kidney","species 3","Raw data extracted from Figure 4",NA,NA,4.460545999,NA,NA,NA,13.21428571,NA,NA,NA,NA
"63","S_059","Jiao_2023","PFUnDA","kidney","species 4","Raw data extracted from Figure 4",NA,NA,4.615370232,NA,NA,NA,13.64285714,NA,NA,NA,NA
"64","S_059","Jiao_2023","PFUnDA","kidney","species 5","Raw data extracted from Figure 4",NA,NA,4.429319372,NA,NA,NA,14.17857143,NA,NA,NA,NA
"65","S_059","Jiao_2023","PFUnDA","kidney","species 6","Raw data extracted from Figure 4",NA,NA,2.217651458,NA,NA,NA,11.60714286,NA,NA,NA,NA
"66","S_059","Jiao_2023","PFUnDA","kidney","species 7","Raw data extracted from Figure 4",NA,NA,2.804412865,NA,NA,NA,14.53571429,NA,NA,NA,NA
"67","S_059","Jiao_2023","PFUnDA","kidney","species 8","Raw data extracted from Figure 4",NA,NA,3.339005236,NA,NA,NA,12.42857143,NA,NA,NA,NA
"68","S_059","Jiao_2023","PFUnDA","kidney","species 9","Raw data extracted from Figure 4",NA,NA,3.754300673,NA,NA,NA,13.10714286,NA,NA,NA,NA
"69","S_059","Jiao_2023","PFUnDA","liver","species 1","Raw data extracted from Figure 4",NA,NA,-4.609386687,NA,NA,NA,5.571428571,NA,NA,NA,NA
