"","Study_ID","filename","PFAS","tissue","species","software","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_FOSA_mean","delta_15N_mean","ln_62ClPFESA_mean","ln_82ClPFESA_mean","ln_102ClPFESA_mean","ln_103FTCA_mean"
"1","S_059","Jiao_2023","PFDA","gill","species 1","Raw data extracted from Figure 4",NA,-4.606299213,NA,NA,NA,NA,7.964285714,NA,NA,NA,NA
"2","S_059","Jiao_2023","PFDA","gill","species 2","Raw data extracted from Figure 4",NA,3.057742782,NA,NA,NA,NA,8,NA,NA,NA,NA
"3","S_059","Jiao_2023","PFDA","gill","species 3","Raw data extracted from Figure 4",NA,2.611548556,NA,NA,NA,NA,11.89285714,NA,NA,NA,NA
"4","S_059","Jiao_2023","PFDA","gill","species 4","Raw data extracted from Figure 4",NA,1.56167979,NA,NA,NA,NA,11.71428571,NA,NA,NA,NA
"5","S_059","Jiao_2023","PFDA","gill","species 5","Raw data extracted from Figure 4",NA,0.984251969,NA,NA,NA,NA,12.39285714,NA,NA,NA,NA
"6","S_059","Jiao_2023","PFDA","gill","species 6","Raw data extracted from Figure 4",NA,2.007874016,NA,NA,NA,NA,13.10714286,NA,NA,NA,NA
"7","S_059","Jiao_2023","PFDA","gill","species 7","Raw data extracted from Figure 4",NA,3.005249344,NA,NA,NA,NA,13.21428571,NA,NA,NA,NA
"8","S_059","Jiao_2023","PFDA","gill","species 8","Raw data extracted from Figure 4",NA,3.530183727,NA,NA,NA,NA,13.60714286,NA,NA,NA,NA
"9","S_059","Jiao_2023","PFDA","gill","species 9","Raw data extracted from Figure 4",NA,2.427821522,NA,NA,NA,NA,14.21428571,NA,NA,NA,NA
"10","S_059","Jiao_2023","PFDA","gill","species 10","Raw data extracted from Figure 4",NA,2.559055118,NA,NA,NA,NA,14.5,NA,NA,NA,NA
"11","S_059","Jiao_2023","PFDoDA","gill","species 1",NA,NA,NA,NA,2.696335079,NA,NA,8.023653039,NA,NA,NA,NA
"12","S_059","Jiao_2023","PFDoDA","gill","species 2",NA,NA,NA,NA,0.994764398,NA,NA,11.74102336,NA,NA,NA,NA
"13","S_059","Jiao_2023","PFDoDA","gill","species 3",NA,NA,NA,NA,1.12565445,NA,NA,11.63510453,NA,NA,NA,NA
