"","Study_ID","filename","PFAS","tissue","species","software","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_FOSA_mean","delta_15N_mean","ln_62ClPFESA_mean","ln_82ClPFESA_mean","ln_102ClPFESA_mean","ln_103FTCA_mean"
"1","S_059","Jiao_2023","PFDA","liver","species 1","Raw data extracted from Figure 4",NA,-4.580052493,NA,NA,NA,NA,5.571428571,NA,NA,NA,NA
"2","S_059","Jiao_2023","PFDA","liver","species 2","Raw data extracted from Figure 4",NA,2.532808399,NA,NA,NA,NA,8.035714286,NA,NA,NA,NA
"3","S_059","Jiao_2023","PFDA","liver","species 3","Raw data extracted from Figure 4",NA,0.538057743,NA,NA,NA,NA,11.71428571,NA,NA,NA,NA
"4","S_059","Jiao_2023","PFDA","liver","species 4","Raw data extracted from Figure 4",NA,1.299212598,NA,NA,NA,NA,11.89285714,NA,NA,NA,NA
"5","S_059","Jiao_2023","PFDA","liver","species 5","Raw data extracted from Figure 4",NA,3.188976378,NA,NA,NA,NA,12.10714286,NA,NA,NA,NA
"6","S_059","Jiao_2023","PFDA","liver","species 6","Raw data extracted from Figure 4",NA,2.50656168,NA,NA,NA,NA,12.42857143,NA,NA,NA,NA
"7","S_059","Jiao_2023","PFDA","liver","species 7","Raw data extracted from Figure 4",NA,2.480314961,NA,NA,NA,NA,13.14285714,NA,NA,NA,NA
"8","S_059","Jiao_2023","PFDA","liver","species 8","Raw data extracted from Figure 4",NA,3.42519685,NA,NA,NA,NA,13.21428571,NA,NA,NA,NA
"9","S_059","Jiao_2023","PFDA","liver","species 9","Raw data extracted from Figure 4",NA,4.868766404,NA,NA,NA,NA,13.60714286,NA,NA,NA,NA
"10","S_059","Jiao_2023","PFDA","liver","species 10","Raw data extracted from Figure 4",NA,3.74015748,NA,NA,NA,NA,14.57142857,NA,NA,NA,NA
"11","S_059","Jiao_2023","PFDA","liver","species 11","Raw data extracted from Figure 4",NA,2.270341207,NA,NA,NA,NA,14.17857143,NA,NA,NA,NA
"12","S_059","Jiao_2023","PFUnDA","liver","species 1","Raw data extracted from Figure 4",NA,NA,-4.609386687,NA,NA,NA,5.571428571,NA,NA,NA,NA
"13","S_059","Jiao_2023","PFUnDA","liver","species 2","Raw data extracted from Figure 4",NA,NA,2.969521316,NA,NA,NA,8,NA,NA,NA,NA
"14","S_059","Jiao_2023","PFUnDA","liver","species 3","Raw data extracted from Figure 4",NA,NA,1.640987285,NA,NA,NA,11.75,NA,NA,NA,NA
"15","S_059","Jiao_2023","PFUnDA","liver","species 4","Raw data extracted from Figure 4",NA,NA,1.404637248,NA,NA,NA,11.89285714,NA,NA,NA,NA
"16","S_059","Jiao_2023","PFUnDA","liver","species 5","Raw data extracted from Figure 4",NA,NA,3.44540015,NA,NA,NA,12.10714286,NA,NA,NA,NA
"17","S_059","Jiao_2023","PFUnDA","liver","species 6","Raw data extracted from Figure 4",NA,NA,3.626963351,NA,NA,NA,12.42857143,NA,NA,NA,NA
"18","S_059","Jiao_2023","PFUnDA","liver","species 7","Raw data extracted from Figure 4",NA,NA,2.942782349,NA,NA,NA,13.10714286,NA,NA,NA,NA
"19","S_059","Jiao_2023","PFUnDA","liver","species 8","Raw data extracted from Figure 4",NA,NA,3.806282723,NA,NA,NA,13.17857143,NA,NA,NA,NA
"20","S_059","Jiao_2023","PFUnDA","liver","species 9","Raw data extracted from Figure 4",NA,NA,5.55815258,NA,NA,NA,13.57142857,NA,NA,NA,NA
"21","S_059","Jiao_2023","PFUnDA","liver","species 10","Raw data extracted from Figure 4",NA,NA,3.694839192,NA,NA,NA,14.46428571,NA,NA,NA,NA
"22","S_059","Jiao_2023","PFUnDA","liver","species 11","Raw data extracted from Figure 4",NA,NA,2.727748691,NA,NA,NA,14.17857143,NA,NA,NA,NA
"23","S_059","Jiao_2023","PFDoDA","liver","species 1",NA,NA,NA,NA,1.989528796,NA,NA,8.056607627,NA,NA,NA,NA
"24","S_059","Jiao_2023","PFDoDA","liver","species 2",NA,NA,NA,NA,-4.581151832,NA,NA,5.657420816,NA,NA,NA,NA
"25","S_059","Jiao_2023","PFDoDA","liver","species 3",NA,NA,NA,NA,0.916230366,NA,NA,11.70528387,NA,NA,NA,NA
"26","S_059","Jiao_2023","PFDoDA","liver","species 4",NA,NA,NA,NA,1.151832461,NA,NA,11.9188853,NA,NA,NA,NA
