"","Study_ID","filename","PFAS","tissue","species","software","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_FOSA_mean","delta_15N_mean","ln_62ClPFESA_mean","ln_82ClPFESA_mean","ln_102ClPFESA_mean","ln_103FTCA_mean"
"1","S_059","Jiao_2023","PFDoDA","muscle","species 1",NA,NA,NA,NA,1.701570681,NA,NA,8.055586499,NA,NA,NA,NA
"2","S_059","Jiao_2023","PFDoDA","muscle","species 2",NA,NA,NA,NA,0.157068063,NA,NA,11.70259181,NA,NA,NA,NA
"3","S_059","Jiao_2023","PFDoDA","muscle","species 3",NA,NA,NA,NA,0.366492147,NA,NA,11.9161004,NA,NA,NA,NA
"4","S_059","Jiao_2023","PFDoDA","muscle","species 4",NA,NA,NA,NA,1.12565445,NA,NA,12.37978538,NA,NA,NA,NA
"5","S_059","Jiao_2023","PFDoDA","muscle","species 5",NA,NA,NA,NA,1.64921466,NA,NA,13.2327058,NA,NA,NA,NA
"6","S_059","Jiao_2023","PFDoDA","muscle","species 6",NA,NA,NA,NA,1.753926702,NA,NA,13.65860904,NA,NA,NA,NA
"7","S_059","Jiao_2023","PFDoDA","muscle","species 7",NA,NA,NA,NA,0.261780105,NA,NA,14.18523263,NA,NA,NA,NA
"8","S_059","Jiao_2023","PFDoDA","muscle","species 8",NA,NA,NA,NA,0.497382199,NA,NA,14.50521704,NA,NA,NA,NA
"9","S_059","Jiao_2023","PFDoDA","muscle","species 9",NA,NA,NA,NA,2.696335079,NA,NA,13.13003602,NA,NA,NA,NA
"10","S_059","Jiao_2023","PFTrDA","muscle","species 1",NA,NA,NA,NA,NA,0.223060056,NA,7.979872603,NA,NA,NA,NA
"11","S_059","Jiao_2023","PFTrDA","muscle","species 2",NA,NA,NA,NA,NA,1.787319188,NA,8.020915419,NA,NA,NA,NA
"12","S_059","Jiao_2023","PFTrDA","muscle","species 3",NA,NA,NA,NA,NA,1.023987447,NA,11.65320462,NA,NA,NA,NA
"13","S_059","Jiao_2023","PFTrDA","muscle","species 4",NA,NA,NA,NA,NA,1.508745115,NA,11.89946152,NA,NA,NA,NA
"14","S_059","Jiao_2023","PFTrDA","muscle","species 5",NA,NA,NA,NA,NA,2.00772234,NA,12.33041108,NA,NA,NA,NA
"15","S_059","Jiao_2023","PFTrDA","muscle","species 6",NA,NA,NA,NA,NA,2.388526419,NA,12.12519701,NA,NA,NA,NA
"16","S_059","Jiao_2023","PFTrDA","muscle","species 7",NA,NA,NA,NA,NA,2.854324676,NA,13.08970318,NA,NA,NA,NA
"17","S_059","Jiao_2023","PFTrDA","muscle","species 8",NA,NA,NA,NA,NA,2.459193315,NA,13.13074599,NA,NA,NA,NA
"18","S_059","Jiao_2023","PFTrDA","muscle","species 9",NA,NA,NA,NA,NA,2.866820652,NA,13.60273838,NA,NA,NA,NA
"19","S_059","Jiao_2023","PFTrDA","muscle","species 10",NA,NA,NA,NA,NA,1.709542513,NA,14.15681639,NA,NA,NA,NA
"20","S_059","Jiao_2023","PFTrDA","muscle","species 11",NA,NA,NA,NA,NA,1.84473604,NA,14.4441161,NA,NA,NA,NA
"21","S_059","Jiao_2023","PFTrDA","muscle","species 12",NA,NA,NA,NA,NA,4.522537397,NA,13.58221697,NA,NA,NA,NA
"22","S_059","Jiao_2023","62ClPFESA","muscle","species 1",NA,NA,NA,NA,NA,NA,NA,5.635491607,-0.247024603,NA,NA,NA
"23","S_059","Jiao_2023","62ClPFESA","muscle","species 2",NA,NA,NA,NA,NA,NA,NA,7.98361311,1.118417435,NA,NA,NA
"24","S_059","Jiao_2023","62ClPFESA","muscle","species 3",NA,NA,NA,NA,NA,NA,NA,8.008593125,-0.81072708,NA,NA,NA
"25","S_059","Jiao_2023","62ClPFESA","muscle","species 4",NA,NA,NA,NA,NA,NA,NA,12.40507594,0.158074599,NA,NA,NA
"26","S_059","Jiao_2023","62ClPFESA","muscle","species 5",NA,NA,NA,NA,NA,NA,NA,11.68065548,0.510966888,NA,NA,NA
"27","S_059","Jiao_2023","62ClPFESA","muscle","species 6",NA,NA,NA,NA,NA,NA,NA,11.8804956,1.024312825,NA,NA,NA
"28","S_059","Jiao_2023","62ClPFESA","muscle","species 7",NA,NA,NA,NA,NA,NA,NA,14.20363709,1.122250348,NA,NA,NA
"29","S_059","Jiao_2023","62ClPFESA","muscle","species 8",NA,NA,NA,NA,NA,NA,NA,14.50339728,1.249265138,NA,NA,NA
"30","S_059","Jiao_2023","62ClPFESA","muscle","species 9",NA,NA,NA,NA,NA,NA,NA,13.20443645,1.770541239,NA,NA,NA
"31","S_059","Jiao_2023","62ClPFESA","muscle","species 10",NA,NA,NA,NA,NA,NA,NA,12.08033573,2.346006792,NA,NA,NA
"32","S_059","Jiao_2023","62ClPFESA","muscle","species 11",NA,NA,NA,NA,NA,NA,NA,13.10451639,3.057078147,NA,NA,NA
"33","S_059","Jiao_2023","62ClPFESA","muscle","species 12",NA,NA,NA,NA,NA,NA,NA,13.60411671,3.036063213,NA,NA,NA
