"","PFAS","species","food_web","Study_ID","filename","plot_type","software","PFOS_mean","delta_15N_mean","log_PFOS_mean"
"1","PFOS","species1","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1109.752496,5.531914894,3.045226130492
"2","PFOS","species1","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",19.30697729,0.740740741,1.28571428574055
"3","PFOS","species10","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",8703.591361,12.2212766,3.9396984924381
"4","PFOS","species10","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",73.00524071,6.37037037,1.86335403724018
"5","PFOS","species11","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",7232.633896,13.65106383,3.85929648238303
"6","PFOS","species11","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",127.5234525,7.802469136,2.10559006206177
"7","PFOS","species12","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",3783.462617,13.65106383,3.57788944722104
"8","PFOS","species12","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",572.4848197,8.098765432,2.75776397519021
"9","PFOS","species13","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1534.368409,13.39574468,3.18592964826102
"10","PFOS","species13","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",442.5503952,9.135802469,2.64596273291199
"11","PFOS","species14","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",880.4883582,13.80425532,2.94472361810804
"12","PFOS","species14","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1986.719919,10.27160494,3.29813664606985
"13","PFOS","species15","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",6747.544053,14.6212766,3.82914572863609
"14","PFOS","species15","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",3324.597932,10.51851852,3.52173913039939
"15","PFOS","species2","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1762.914118,8.136170213,3.24623115575526
"16","PFOS","species2","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",10.1440453,1.333333333,1.00621117995959
"17","PFOS","species3","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",148.2020706,9.974468085,2.17085427141573
"18","PFOS","species3","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",623.7794396,4.049382716,2.79503105587251
"19","PFOS","species4","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",3783.462617,9.872340426,3.57788944722104
"20","PFOS","species4","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",107.4127661,4.987654321,2.03105590070528
"21","PFOS","species5","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",2612.675226,9.872340426,3.41708542720826
"22","PFOS","species5","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",145.0409659,5.925925926,2.16149068328025
"23","PFOS","species6","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",4880.251584,10.63829787,3.68844221108603
"24","PFOS","species6","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",195.8508523,6.666666667,2.29192546584243
"25","PFOS","species7","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",2025.501939,10.99574468,3.30653266326713
"26","PFOS","species7","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",14.29813862,4.444444444,1.15527950322172
"27","PFOS","species8","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",922.1978823,11.04680851,2.96482412058727
"28","PFOS","species8","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",4.686055775,5.87654321,0.670807453409594
"29","PFOS","species9","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1499.268433,11.81276596,3.1758793970469
"30","PFOS","species9","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",15.57925134,6.074074074,1.19254658384239
