"","PFAS","species","food_web","Study_ID","filename","plot_type","software","PFOS_mean","delta_15N_mean","log_PFOS_mean"
"1","PFOS","species1","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1109.752496,5.531914894,3.045226130492
"2","PFOS","species10","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",8703.591361,12.2212766,3.9396984924381
"3","PFOS","species11","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",7232.633896,13.65106383,3.85929648238303
"4","PFOS","species12","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",3783.462617,13.65106383,3.57788944722104
"5","PFOS","species13","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1534.368409,13.39574468,3.18592964826102
"6","PFOS","species14","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",880.4883582,13.80425532,2.94472361810804
"7","PFOS","species15","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",6747.544053,14.6212766,3.82914572863609
"8","PFOS","species2","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1762.914118,8.136170213,3.24623115575526
"9","PFOS","species3","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",148.2020706,9.974468085,2.17085427141573
"10","PFOS","species4","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",3783.462617,9.872340426,3.57788944722104
"11","PFOS","species5","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",2612.675226,9.872340426,3.41708542720826
"12","PFOS","species6","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",4880.251584,10.63829787,3.68844221108603
"13","PFOS","species7","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",2025.501939,10.99574468,3.30653266326713
"14","PFOS","species8","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",922.1978823,11.04680851,2.96482412058727
"15","PFOS","species9","aquatic food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1499.268433,11.81276596,3.1758793970469
