"","PFAS","species","food_web","Study_ID","filename","plot_type","software","PFOS_mean","delta_15N_mean","log_PFOS_mean"
"1","PFOS","species1","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",19.30697729,0.740740741,2.96046654819567
"2","PFOS","species10","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",73.00524071,6.37037037,4.29053122911952
"3","PFOS","species11","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",127.5234525,7.802469136,4.84830028885985
"4","PFOS","species12","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",572.4848197,8.098765432,6.34998621926898
"5","PFOS","species13","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",442.5503952,9.135802469,6.09255434542093
"6","PFOS","species14","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",1986.719919,10.27160494,7.59424027589781
"7","PFOS","species15","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",3324.597932,10.51851852,8.10910402307145
"8","PFOS","species2","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",10.1440453,1.333333333,2.31688686337891
"9","PFOS","species3","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",623.7794396,4.049382716,6.43579684370746
"10","PFOS","species4","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",107.4127661,4.987654321,4.67667904000157
"11","PFOS","species5","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",145.0409659,5.925925926,4.97701622596662
"12","PFOS","species6","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",195.8508523,6.666666667,5.27735341190222
"13","PFOS","species7","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",14.29813862,4.444444444,2.66012936235991
"14","PFOS","species8","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",4.686055775,5.87654321,1.54459124249023
"15","PFOS","species9","riparian food web","S_053","Koch_2020_1","Scatter plot","Webplot Digitiser",15.57925134,6.074074074,2.74593998665646
