"","PFAS","species","food_web","Study_ID","filename","se","error_type","plot_type","software","TL_mean","ln_PFOS_mean","ln_PFOA_mean","ln_PFNA_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_PFTeDA_mean"
"1","PFDA","species1","pelagic food web","S_013","Martin_2004_5.png","0.079365079","se","mean_error","metaDigitise",3.579088472,NA,NA,NA,-6.714285714,NA,NA,NA,NA
"2","PFDA","species2","pelagic food web","S_013","Martin_2004_5.png","0.73015873","se","mean_error","metaDigitise",4.09919571,NA,NA,NA,-6.873015873,NA,NA,NA,NA
"3","PFDA","species3","pelagic food web","S_013","Martin_2004_5.png","0.507936508","se","mean_error","metaDigitise",4.410187668,NA,NA,NA,-5.222222222,NA,NA,NA,NA
"4","PFDA","species4","pelagic food web","S_013","Martin_2004_5.png","0.634920635","se","mean_error","metaDigitise",4.941018767,NA,NA,NA,-5.285714286,NA,NA,NA,NA
"5","PFNA","species1","pelagic food web","S_013","Martin_2004_4.png","0.109589041","se","mean_error","metaDigitise",3.58013245,NA,NA,-5.917808219,NA,NA,NA,NA,NA
"6","PFNA","species2","pelagic food web","S_013","Martin_2004_4.png","1.123287671","se","mean_error","metaDigitise",4.096688742,NA,NA,-7.726027397,NA,NA,NA,NA,NA
"7","PFNA","species3","pelagic food web","S_013","Martin_2004_4.png","0.657534247","se","mean_error","metaDigitise",4.406622517,NA,NA,-5.205479452,NA,NA,NA,NA,NA
"8","PFNA","species4","pelagic food web","S_013","Martin_2004_4.png","0.794520548","se","mean_error","metaDigitise",4.933774834,NA,NA,-5.726027397,NA,NA,NA,NA,NA
"9","PFOA","species1","pelagic food web","S_013","Martin_2004_3.png","0.193029491","se","mean_error","metaDigitise",3.577291382,NA,-6.069705094,NA,NA,NA,NA,NA,NA
"10","PFOA","species2","pelagic food web","S_013","Martin_2004_3.png","0.643431635","se","mean_error","metaDigitise",4.102599179,NA,-6.648793566,NA,NA,NA,NA,NA,NA
"11","PFOA","species3","pelagic food web","S_013","Martin_2004_3.png","0.600536193","se","mean_error","metaDigitise",4.411764706,NA,-6.434316354,NA,NA,NA,NA,NA,NA
"12","PFOA","species4","pelagic food web","S_013","Martin_2004_3.png","0.064343164","se","mean_error","metaDigitise",4.945280438,NA,-6.927613941,NA,NA,NA,NA,NA,NA
"13","PFOS","species1","pelagic food web","S_013","Martin_2004_2.png","0.126760563","se","mean_error","metaDigitise",3.569500675,-4.366197183,NA,NA,NA,NA,NA,NA,NA
"14","PFOS","species2","pelagic food web","S_013","Martin_2004_2.png","0.352112676","se","mean_error","metaDigitise",4.090418354,-3.14084507,NA,NA,NA,NA,NA,NA,NA
"15","PFOS","species3","pelagic food web","S_013","Martin_2004_2.png","0.450704225","se","mean_error","metaDigitise",4.406207827,-2.323943662,NA,NA,NA,NA,NA,NA,NA
"16","PFOS","species4","pelagic food web","S_013","Martin_2004_2.png","0.394366197","se","mean_error","metaDigitise",4.940620783,-1.830985915,NA,NA,NA,NA,NA,NA,NA
"17","PFTeDA","species1","pelagic food web","S_013","Martin_2004_9.png","0.096256684","se","mean_error","metaDigitise",3.581173261,NA,NA,NA,NA,NA,NA,NA,-6.502673797
"18","PFTeDA","species2","pelagic food web","S_013","Martin_2004_9.png","0.064171123","se","mean_error","metaDigitise",4.099590723,NA,NA,NA,NA,NA,NA,NA,-8.267379679
"19","PFTeDA","species3","pelagic food web","S_013","Martin_2004_9.png","0.754010695","se","mean_error","metaDigitise",4.410641201,NA,NA,NA,NA,NA,NA,NA,-7.786096257
"20","PFTeDA","species4","pelagic food web","S_013","Martin_2004_9.png","1.07486631","se","mean_error","metaDigitise",4.934515689,NA,NA,NA,NA,NA,NA,NA,-7.080213904
"21","PFTrDA","species1","pelagic food web","S_013","Martin_2004_8.png","0.094850949","se","mean_error","metaDigitise",3.574616457,NA,NA,NA,NA,NA,NA,-6.509485095,NA
"22","PFTrDA","species2","pelagic food web","S_013","Martin_2004_8.png","0.203252033","se","mean_error","metaDigitise",4.093444909,NA,NA,NA,NA,NA,NA,-6.536585366,NA
"23","PFTrDA","species3","pelagic food web","S_013","Martin_2004_8.png","0.379403794","se","mean_error","metaDigitise",4.411436541,NA,NA,NA,NA,NA,NA,-5.628726287,NA
"24","PFTrDA","species4","pelagic food web","S_013","Martin_2004_8.png","0.501355014","se","mean_error","metaDigitise",4.941422594,NA,NA,NA,NA,NA,NA,-5.466124661,NA
"25","PFUDoDA","species1","pelagic food web","S_013","Martin_2004_7.png","0.12295082","se","mean_error","metaDigitise",3.575458392,NA,NA,NA,NA,NA,-6.37431694,NA,NA
"26","PFUDoDA","species2","pelagic food web","S_013","Martin_2004_7.png","0.99726776","se","mean_error","metaDigitise",4.094499295,NA,NA,NA,NA,NA,-6.524590164,NA,NA
"27","PFUDoDA","species3","pelagic food web","S_013","Martin_2004_7.png","0.368852459","se","mean_error","metaDigitise",4.410437236,NA,NA,NA,NA,NA,-5.595628415,NA,NA
"28","PFUDoDA","species4","pelagic food web","S_013","Martin_2004_7.png","0.683060109","se","mean_error","metaDigitise",4.935119887,NA,NA,NA,NA,NA,-5.745901639,NA,NA
"29","PFUnDA","species1","pelagic food web","S_013","Martin_2004_6.png","0.147368421","se","mean_error","metaDigitise",3.57414966,NA,NA,NA,NA,-6.673684211,NA,NA,NA
"30","PFUnDA","species2","pelagic food web","S_013","Martin_2004_6.png","0.863157895","se","mean_error","metaDigitise",4.096598639,NA,NA,NA,NA,-7.010526316,NA,NA,NA
"31","PFUnDA","species3","pelagic food web","S_013","Martin_2004_6.png","0.526315789","se","mean_error","metaDigitise",4.40952381,NA,NA,NA,NA,-5.094736842,NA,NA,NA
"32","PFUnDA","species4","pelagic food web","S_013","Martin_2004_6.png","0.736842105","se","mean_error","metaDigitise",4.945578231,NA,NA,NA,NA,-4.989473684,NA,NA,NA
