"","group_id","Study_ID","filename","note","TL_mean","PFOS_mean","log_PFOS_mean"
"1","sample 1","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.31","0.82","-0.0861861476162833"
"2","sample 10","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.41","0.187","-0.728158393463501"
"3","sample 11","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.5","2.16","0.334453751150931"
"4","sample 12","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.17","0.22","-0.657577319177794"
"5","sample 13","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.49",NA,NA
"6","sample 14","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.44",NA,NA
"7","sample 15","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.41",NA,NA
"8","sample 16","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.6","2.89","0.460897842756548"
"9","sample 17","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.5","0.237","-0.625251653989896"
"10","sample 18","S_062","Miniero_2014","Raw data extracted from Table SM-1","2.6","0.089","-1.05060999335509"
"11","sample 19","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.5","3.77","0.576341350205793"
"12","sample 2","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.5","0.619","-0.208309350979882"
"13","sample 20","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.41","0.999","-0.000434511774017692"
"14","sample 21","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.17","0.275","-0.560667306169737"
"15","sample 22","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.6","2.3","0.361727836017593"
"16","sample 23","S_062","Miniero_2014","Raw data extracted from Table SM-1","4.5","1.35","0.130333768495006"
"17","sample 24","S_062","Miniero_2014","Raw data extracted from Table SM-1","2.6","0.498","-0.302770657240282"
"18","sample 25","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.5","0.931","-0.0310503190186574"
"19","sample 26","S_062","Miniero_2014","Raw data extracted from Table SM-1","3.41","0.469","-0.328827157284917"
