"","PFAS","species","Study_ID","filename","se","error_type","plot_type","software","PFOA_mean","TL_mean","PFUnDA_mean","PFTrDA_mean","PFOS_mean","PFNA_mean","PFDA_mean","PFDoDA_mean","PFHxS_mean","PFTeDA_mean","log_PFHxS_mean","log_PFOA_mean","log_PFOS_mean","log_PFNA_mean","log_PFDA_mean","log_PFUnDA_mean","log_PFDoDA_mean","log_PFTrDA_mean","log_PFTeDA_mean"
"1","PFDA","species 1","S_035","Ren_2022_5r.png","0.027906977","se","mean_error","metaDigitise",NA,1.987542469,NA,NA,NA,NA,0.018604651,NA,NA,NA,NA,NA,NA,NA,-1.73037847238772,NA,NA,NA,NA
"2","PFDA","species 2","S_035","Ren_2022_5r.png","0","se","mean_error","metaDigitise",NA,2.889014723,NA,NA,NA,NA,0.269767442,NA,NA,NA,NA,NA,NA,NA,-0.569010466128033,NA,NA,NA,NA
"3","PFDA","species 3","S_035","Ren_2022_5r.png","0","se","mean_error","metaDigitise",NA,3.061155153,NA,NA,NA,NA,0.744186047,NA,NA,NA,NA,NA,NA,NA,-0.128318476974675,NA,NA,NA,NA
"4","PFDA","species 4","S_035","Ren_2022_5r.png","0","se","mean_error","metaDigitise",NA,3.192525481,NA,NA,NA,NA,0.939534884,NA,NA,NA,NA,NA,NA,NA,-0.0270870903399832,NA,NA,NA,NA
"5","PFDA","species 5","S_035","Ren_2022_5r.png","0","se","mean_error","metaDigitise",NA,3.364665912,NA,NA,NA,NA,1.83255814,NA,NA,NA,NA,NA,NA,NA,0.263057762020196,NA,NA,NA,NA
"6","PFDA","species 6","S_035","Ren_2022_5r.png","0","se","mean_error","metaDigitise",NA,3.636466591,NA,NA,NA,NA,1.665116279,NA,NA,NA,NA,NA,NA,NA,0.221444566710072,NA,NA,NA,NA
"7","PFDA","species 7","S_035","Ren_2022_5r.png","1.786046512","se","mean_error","metaDigitise",NA,4.347678369,NA,NA,NA,NA,3.646511628,NA,NA,NA,NA,NA,NA,NA,0.561877602779912,NA,NA,NA,NA
"8","PFDoDA","species 1","S_035","Ren_2022_7r.png","0","se","mean_error","metaDigitise",NA,1.975280899,NA,NA,NA,NA,NA,0.072340426,NA,NA,NA,NA,NA,NA,NA,NA,-1.14061893808332,NA,NA
"9","PFDoDA","species 2","S_035","Ren_2022_7r.png","0","se","mean_error","metaDigitise",NA,2.878651685,NA,NA,NA,NA,NA,0.055319149,NA,NA,NA,NA,NA,NA,NA,NA,-1.25712450946379,NA,NA
"10","PFDoDA","species 3","S_035","Ren_2022_7r.png","0","se","mean_error","metaDigitise",NA,3.04494382,NA,NA,NA,NA,NA,0.327659574,NA,NA,NA,NA,NA,NA,NA,NA,-0.484577137719675,NA,NA
"11","PFDoDA","species 4","S_035","Ren_2022_7r.png","0","se","mean_error","metaDigitise",NA,3.184269663,NA,NA,NA,NA,NA,0.353191489,NA,NA,NA,NA,NA,NA,NA,NA,-0.451989770340422,NA,NA
"12","PFDoDA","species 5","S_035","Ren_2022_7r.png","0","se","mean_error","metaDigitise",NA,3.346067416,NA,NA,NA,NA,NA,0.70212766,NA,NA,NA,NA,NA,NA,NA,NA,-0.153583917794621,NA,NA
"13","PFDoDA","species 6","S_035","Ren_2022_7r.png","0","se","mean_error","metaDigitise",NA,3.620224719,NA,NA,NA,NA,NA,0.412765957,NA,NA,NA,NA,NA,NA,NA,NA,-0.384296128475604,NA,NA
"14","PFDoDA","species 7","S_035","Ren_2022_7r.png","0.374468085","se","mean_error","metaDigitise",NA,4.348314607,NA,NA,NA,NA,NA,1.34893617,NA,NA,NA,NA,NA,NA,NA,NA,0.129991399877515,NA,NA
"15","PFHxS","species 1","S_035","Ren_2022_1r.png","0.004504505","se","mean_error","metaDigitise",NA,1.98510882,NA,NA,NA,NA,NA,NA,0.085585586,NA,-1.06759937139491,NA,NA,NA,NA,NA,NA,NA,NA
"16","PFHxS","species 2","S_035","Ren_2022_1r.png","0.004504505","se","mean_error","metaDigitise",NA,2.887743414,NA,NA,NA,NA,NA,NA,0.468468468,NA,-0.329319635586153,NA,NA,NA,NA,NA,NA,NA,NA
