"","Study_ID","filename","group_id","plot_type","software","PFOS_mean","delta_15N_mean","log_PFOS_mean"
"1","S_058","Van de Vijver_2003","PFOS, species 1","Scatter plot","Webplot Digitiser",88.138138,11.056604,1.94516387139665
"2","S_058","Van de Vijver_2003","PFOS, species 2","Scatter plot","Webplot Digitiser",28.228228,13.433962,1.45068361658206
"3","S_058","Van de Vijver_2003","PFOS, species 3","Scatter plot","Webplot Digitiser",45.045045,13.647799,1.65364702511507
"4","S_058","Van de Vijver_2003","PFOS, species 4","Scatter plot","Webplot Digitiser",21.921922,14.075472,1.34087862816094
"5","S_058","Van de Vijver_2003","PFOS, species 5","Scatter plot","Webplot Digitiser",27.177177,14.138365,1.43420434286757
"6","S_058","Van de Vijver_2003","PFOS, species 6","Scatter plot","Webplot Digitiser",17.717718,14.45283,1.24840778505509
"7","S_058","Van de Vijver_2003","PFOS, species 7","Scatter plot","Webplot Digitiser",29.279279,14.754717,1.46656037804972
"8","S_058","Van de Vijver_2003","PFOS, species 8","Scatter plot","Webplot Digitiser",48.198198,14.867925,1.68303080144869
"9","S_058","Van de Vijver_2003","PFOS, species 9","Scatter plot","Webplot Digitiser",42.942943,15.018868,1.63289180453578
"10","S_058","Van de Vijver_2003","PFOS, species 10","Scatter plot","Webplot Digitiser",16.666667,14.955975,1.22184875830225
"11","S_058","Van de Vijver_2003","PFOS, species 11","Scatter plot","Webplot Digitiser",41.891892,15.144654,1.62212997522406
"12","S_058","Van de Vijver_2003","PFOS, species 12","Scatter plot","Webplot Digitiser",12.462462,15.207547,1.09560384708978
"13","S_058","Van de Vijver_2003","PFOS, species 13","Scatter plot","Webplot Digitiser",22.972973,15.308176,1.36121720215823
"14","S_058","Van de Vijver_2003","PFOS, species 14","Scatter plot","Webplot Digitiser",50.3003,15.371069,1.70157057527374
"15","S_058","Van de Vijver_2003","PFOS, species 15","Scatter plot","Webplot Digitiser",55.555556,15.622642,1.74472749837105
"16","S_058","Van de Vijver_2003","PFOS, species 16","Scatter plot","Webplot Digitiser",71.321321,15.283019,1.85321937849795
"17","S_058","Van de Vijver_2003","PFOS, species 17","Scatter plot","Webplot Digitiser",149.099099,15.207547,2.17347501903643
"18","S_058","Van de Vijver_2003","PFOS, species 18","Scatter plot","Webplot Digitiser",151.201201,15.597484,2.17955524080541
"19","S_058","Van de Vijver_2003","PFOS, species 19","Scatter plot","Webplot Digitiser",205.855856,15.861635,2.31356322592331
"20","S_058","Van de Vijver_2003","PFOS, species 20","Scatter plot","Webplot Digitiser",22.972973,15.761006,1.36121720215823
"21","S_058","Van de Vijver_2003","PFOS, species 21","Scatter plot","Webplot Digitiser",47.147147,16.075472,1.67345541754747
"22","S_058","Van de Vijver_2003","PFOS, species 22","Scatter plot","Webplot Digitiser",29.279279,16.113208,1.46656037804972
"23","S_058","Van de Vijver_2003","PFOS, species 23","Scatter plot","Webplot Digitiser",12.462462,16.440252,1.09560384708978
"24","S_058","Van de Vijver_2003","PFOS, species 24","Scatter plot","Webplot Digitiser",36.636637,16.641509,1.56391560147578
"25","S_058","Van de Vijver_2003","PFOS, species 25","Scatter plot","Webplot Digitiser",50.3003,16.779874,1.70157057527374
"26","S_058","Van de Vijver_2003","PFOS, species 26","Scatter plot","Webplot Digitiser",69.219219,16.716981,1.84022669484392
"27","S_058","Van de Vijver_2003","PFOS, species 27","Scatter plot","Webplot Digitiser",69.219219,16.477987,1.84022669484392
"28","S_058","Van de Vijver_2003","PFOS, species 28","Scatter plot","Webplot Digitiser",57.657658,16.402516,1.76085699777585
"29","S_058","Van de Vijver_2003","PFOS, species 29","Scatter plot","Webplot Digitiser",95.495495,16.150943,1.9799828842247
