FW_ID,Ecosystem,Location,Latitude_DD,Longitude_DD
FW_001,Aquatic,North America,64.25,-113.1167
FW_002,Aquatic,North America,64.25,-113.1167
FW_003,Aquatic,Europe,45.45,4.8
FW_004,Aquatic,Europe,45.6333,5.15
FW_005,Aquatic,Europe,45.5167,4.25
FW_006,Aquatic,Europe,43.4667,5.4167
FW_007,Aquatic,Europe,45.7,5.15
FW_008,Aquatic,East Asia,31.5,120.1667
FW_009,Aquatic,East Asia,31.5,120.1667
FW_010,Aquatic,Europe,45.95,8.45
FW_011,Aquatic,Europe,45.95,8.45
FW_012,Aquatic,North America,32.776566,-79.930923
FW_013,Aquatic,North America,27.377865,-82.585945
FW_014,Aquatic,North America,27.377865,-82.585945
FW_018,Aquatic,North America,43.05,-79.0333
FW_019,Aquatic,North America,43.05,-79.0333
FW_020,Aquatic,Arctic Region,69.5333,-133.6
FW_022,Aquatic,Arctic Region,66.55,-58.1
FW_023,Aquatic,East Asia,22.4833,114.0333
FW_024,Aquatic,Europe,45.4277,0.8613
FW_025,Aquatic,Europe,45.4277,0.8613
FW_026,Aquatic,Europe,45.4277,0.8613
FW_027,Aquatic,Europe,48.6667,2.35
FW_028,Aquatic,South America,-12.5833,-38.4833
FW_029,Aquatic,South America,-12.5833,-38.4833
FW_030,Aquatic,South America,-12.5833,-38.4833
FW_031,Aquatic,North America,43.7,-77.9
FW_032,Aquatic,North America,43.7,-77.9
FW_033,Aquatic,North America,43.7,-77.9
FW_034,Aquatic,East Asia,31.258,120.2051
FW_035,Aquatic,East Asia,40.7,121.7667
FW_036,Aquatic,East Asia,38.8495,119.7889
FW_037,Aquatic,East Asia,30.55,117.4167
FW_040,Aquatic,Antarctic Region,-62.1833,-58.9167
FW_041,Aquatic,Europe,60.03,10.17
FW_042,Aquatic,Europe,60.03,10.17
FW_043,Aquatic,East Asia,31.258,120.2051
FW_044,Aquatic,East Asia,31.258,120.2051
FW_045,Aquatic,East Asia,31.258,120.2051
FW_046,Aquatic,East Asia,21.6261,108.6625
FW_047,Aquatic,East Asia,37.2667,118.8833
FW_048,Aquatic,East Asia,21.7,108.6
FW_049,Aquatic,East Asia,31.6833,121.2333
FW_050,Aquatic,East Asia,38.8495,119.7889
FW_051,Aquatic,East Asia,38.8495,119.7889
FW_052,Aquatic,East Asia,38.8495,119.7889
FW_053,Aquatic,East Asia,38.8495,119.7889
FW_054,Aquatic,East Asia,38.8495,119.7889
FW_055,Terrestrial,West Asia,30.7667,90.9833
FW_056,Terrestrial,North America,69,-139.3667
FW_057,Terrestrial,North America,69,-139.3667
FW_058,Terrestrial,North America,65.75,-110.3
FW_059,Terrestrial,North America,65.75,-110.3
FW_060,Aquatic,Europe,53.1167,13.5
FW_061,Aquatic,North America,54.2333,-59.95
FW_062,Aquatic,North America,54.2333,-59.95
FW_063,Aquatic,North America,41.5,-71.3333
FW_064,Aquatic,East Asia,41.6167,108.8333
FW_065,Aquatic,East Asia,41.6167,108.8333
FW_066,Aquatic,East Asia,41.6167,108.8333
FW_067,Aquatic,East Asia,41.6167,108.8333
FW_068,Aquatic,Europe,53.1167,13.5
FW_069,Aquatic,North America,45,-83.3333
FW_070,Aquatic,North America,45,-83.3333
FW_071,Aquatic,North America,44.15,-83.0667
FW_072,Aquatic,North America,44.15,-83.0667
FW_073,Aquatic,North America,46.8131,71.2075
FW_074,Aquatic,North America,46.8131,71.2075
FW_075,Aquatic,East Asia,30.4167,122.5
FW_076,Aquatic,Antarctic Region,-62.8167,-58.15
FW_077,Aquatic,East Asia,29.7333,123.2333
FW_078,Aquatic,East Asia,22.1167,114.05
