TMF_ID,FW_ID,PFAS_ID,Study_ID,ln_TMF,ln_TMF_se
TMF_001,FW_001,PFHpA,S_001,0.3576744442718159,0.4995004995004995
TMF_002,FW_001,PFOA,S_001,1.1878434223960523,0.35465405674464917
TMF_003,FW_001,PFNA,S_001,1.9501867058225735,0.3548930240659564
TMF_004,FW_001,PFDA,S_001,2.1150499691472033,0.3951158267890993
TMF_005,FW_001,PFUnDA,S_001,2.0769384114617173,0.25254462687330564
TMF_006,FW_001,PFDoDA,S_001,1.5665304114228238,0.21089855566443694
TMF_007,FW_001,PFTeDA,S_001,0.8628899551470398,0.2604839404116076
TMF_008,FW_001,PFOS,S_001,2.856470206220483,0.4134412385643913
TMF_009,FW_001,FOSA,S_001,1.6272778305624314,0.5893909626719058
TMF_010,FW_001,PFHpA,S_001,-0.2744368457017603,0.40950590762620837
TMF_011,FW_001,PFOA,S_001,0.6575200029167941,0.3277995135878186
TMF_012,FW_001,PFNA,S_001,1.4422019930581866,0.39682539682539686
TMF_013,FW_001,PFDA,S_001,1.5706970841176697,0.39034324748610466
TMF_014,FW_001,PFUnDA,S_001,1.5665304114228238,0.2865237953218866
TMF_015,FW_001,br-PFDoDA,S_001,1.085189268335969,0.24476006618863763
TMF_016,FW_001,PFTeDA,S_001,0.6780335427498971,0.284885527815187
TMF_017,FW_001,PFOS,S_001,2.3978952727983707,0.48701298701298695
TMF_018,FW_001,FOSA,S_001,1.4951487660319727,0.7412830603093254
TMF_019,FW_002,PFHpA,S_001,-0.2876820724517809,0.8231292517006802
TMF_020,FW_002,PFOA,S_001,-0.916290731874155,0.29336734693877553
TMF_021,FW_002,PFNA,S_001,-0.4620354595965587,0.7045675413022351
TMF_022,FW_002,PFDA,S_001,-0.5108256237659907,0.5102040816326531
TMF_023,FW_002,PFUnDA,S_001,0.08617769624105241,0.38850402546339635
TMF_024,FW_002,PFDoDA,S_001,0.009950330853168092,0.36876136593251163
TMF_025,FW_002,PFTeDA,S_001,-1.0788096613719298,0.3751500600240095
TMF_026,FW_002,PFOS,S_001,-0.7550225842780328,0.6296135475466783
TMF_027,FW_002,FOSA,S_001,1.5107219394949427,0.8638554759652205
TMF_028,FW_003,PFNA,S_002,2.2925347571405443,0.45351473922902497
TMF_029,FW_003,PFDA,S_002,1.7404661748405046,0.2685284640171858
TMF_030,FW_003,PFUnDA,S_002,0.9555114450274363,0.11773940345368919
TMF_031,FW_003,PFDoDA,S_002,0.3364722366212129,0.4373177842565598
TMF_032,FW_003,PFTrDA,S_002,-0.10536051565782628,0.1133786848072562
TMF_033,FW_003,PFTeDA,S_002,0.6418538861723947,0.21482277121374863
TMF_034,FW_003,PFHxS,S_002,0.4054651081081644,0.13605442176870744
TMF_035,FW_003,PFHpS,S_002,-0.5108256237659907,0.08503401360544216
TMF_036,FW_003,l-PFOS,S_002,-0.21072103131565253,0.11337868480725627
TMF_037,FW_003,br-PFOS,S_002,0.3364722366212129,0.36443148688046645
TMF_038,FW_003,PFOS,S_002,0.8754687373538999,0.6377551020408163
TMF_039,FW_003,PFDS,S_002,-1.9661128563728327,0.4008746355685131
