PFAS_ID,k,n,estimate,std.error,statistic,p.value,ci.lb,ci.ub,pval
PFHxA,16,12,0.7481385666225826,0.40981021359712216,-0.70805231065826,0.47908923841633044,0.3347332215645817,1.6721116364008848,0.47908923841633044
PFBS,21,11,0.9191124629491754,0.27784180244644785,-0.303578468100429,0.7615165962373908,0.5327981937459093,1.58553037428533,0.7615165962373908
PFHpA,19,11,0.9398751932066289,0.16416023974432176,-0.377729624507381,0.705717186960503,0.6810133433289904,1.2971337308708992,0.705717186960503
PFPeA,11,7,0.9603839739785731,0.30650553017052246,-0.1318804968094869,0.8951071879517141,0.5262701764751023,1.7525929051358888,0.8951071879517141
PFBA,15,11,1.3091257927841273,0.25138606802888075,1.0714976482438139,0.2842222219585343,0.7993257772425585,2.144069902568158,0.2842222219585343
PFOA,74,35,1.3218467781283891,0.13952486293330948,1.9998574252585546,0.04580455816467515,1.005225279472551,1.7381963431771366,0.04580455816467515
PFTeDA,51,23,1.4853824662440163,0.1138985086854098,3.4739023072962714,5.364842958381234e-4,1.1878512077957755,1.85743892546893,5.364842958381234e-4
PFDS,22,7,1.644091144552601,0.25833485427608377,1.924586356014072,0.05458430632474275,0.990252266578391,2.729643529053515,0.05458430632474275
PFHxS,43,20,1.7576796314612502,0.1414108568914474,3.988339795051916,7.173069053332078e-5,1.331725032122249,2.319876560351502,7.173069053332078e-5
FOSA,32,15,1.7594135276684353,0.14666211248642236,3.8522595987809116,1.25013800585964e-4,1.3193715026348052,2.346220117048803,1.25013800585964e-4
PFDoDA,88,40,2.039713283217483,0.07165119509935454,9.94832325612415,3.117345571659488e-22,1.7721499394575473,2.3476739665760715,3.117345571659488e-22
PFTrDA,66,27,2.0443866900098535,0.12959726481089653,5.517846680417516,4.443753190949589e-8,1.5852825150768948,2.6364492754698143,4.443753190949589e-8
PFNA,88,39,2.2144881469334585,0.09150723972737282,8.688069864806154,1.6270465467330223e-17,1.8504667986525887,2.650119286917001,1.6270465467330223e-17
PFUnDA,94,45,2.414690903152373,0.08683691347644361,10.15203388981707,4.825665560062251e-23,2.0363387465465888,2.8633409680266193,4.825665560062251e-23
PFOS,154,58,2.64566325446453,0.07425831762957083,13.10185609860787,3.9503677685106525e-36,2.2868824540370247,3.06073189011862,3.9503677685106525e-36
PFDA,88,42,2.794723130920821,0.08856585232561591,11.604168152951171,3.5150023049041154e-29,2.348841358647036,3.325246871079797,3.5150023049041154e-29
F-53B,38,10,3.0779652934838397,0.12418260850822614,9.05335113497294,7.895175216291547e-19,2.412249810822022,3.927400182762435,7.895175216291547e-19
