PFAS_ID,k,n,estimate,std.error,statistic,p.value,ci.lb,ci.ub,pval
6:2 diPAP,3,2,0.16433382043308187,0.9303725032066046,-1.941002580463297,0.052558186507315544,0.026470733166976426,1.0202061411666243,0.052558186507315544
PFMOAA,2,2,0.24825454837718713,1.1183681324226387,-1.2458336517917545,0.21313755340250967,0.027650733026951833,2.2288856042220866,0.21313755340250967
4:2 FTSA,1,1,0.31036694126548503,1.8641019376081818,-0.6276480788927349,0.5303877566642945,0.008000043791270816,12.040888868083462,0.5303877566642945
PF4OPeA,1,1,0.3400000000000001,1.4428085007826945,-0.7477150715335384,0.4548200468878887,0.02003393487884848,5.770209432099569,0.4548200468878887
6:2 FTSA,4,2,0.37604370722709923,0.6371217717369556,-1.535106698765319,0.1250959183578537,0.10770016281221328,1.3129865921527135,0.1250959183578537
ADONA,3,2,0.49374821523716345,0.3912344016231357,-1.8038535838233594,0.07157602006705684,0.22911555082205556,1.0640364618428875,0.07157602006705684
FOSAA,2,2,0.569683839528852,1.399507569166961,-0.40205122996700016,0.6877382114263579,0.0365449047121419,8.880572533344377,0.6877382114263579
NEtFOSAA,6,4,0.6170215606504311,0.37174622726219425,-1.2988734678365452,0.19430757712236882,0.2974810005300548,1.27979805644438,0.19430757712236882
PFHxA,16,12,0.7481385666225826,0.40981021359712216,-0.70805231065826,0.47908923841633044,0.3347332215645817,1.6721116364008848,0.47908923841633044
MeFOSAA,3,2,0.7979707036897382,0.3430630127355402,-0.6578482261171614,0.5107975859261292,0.4069983824118625,1.5645203309499367,0.5107975859261292
PFBS,21,11,0.9191124629491754,0.27784180244644785,-0.303578468100429,0.7615165962373908,0.5327981937459093,1.58553037428533,0.7615165962373908
7:3 FTCA,1,1,0.92,1.323547198057502,-0.06299859125645511,0.9497810908935526,0.06850498141402046,12.35530588475969,0.9497810908935526
PFHpA,19,11,0.9398751932066289,0.16416023974432176,-0.377729624507381,0.705717186960503,0.6810133433289904,1.2971337308708992,0.705717186960503
PFPeA,11,7,0.9603839739785731,0.30650553017052246,-0.1318804968094869,0.8951071879517141,0.5262701764751023,1.7525929051358888,0.8951071879517141
HFPO-DA,2,2,0.9830466640371275,0.7160832538511511,-0.02387807398767705,0.980954958591931,0.24113092668621314,4.007701363550471,0.980954958591931
EtFOSA,6,1,1.051604093490486,0.7214290376017899,0.06974588472903448,0.9444108334573154,0.25525532570530973,4.332411738678731,0.9444108334573154
NMeFOSAA,4,1,1.152717001228687,0.4028445628925185,0.3527955411499497,0.724321241208284,0.5228490585609581,2.5413768336483282,0.724321241208284
PFHxDA,9,3,1.1615091064144176,0.08371382062861892,1.7884754547381208,0.07402301399268947,0.9855369806807344,1.3689018583064843,0.07402301399268947
FBSA,2,1,1.2464746524535018,0.20598420747010496,1.0695931086443302,0.28507853976666075,0.8319976808008139,1.867431959321825,0.28507853976666075
PFBA,15,11,1.3091257927841273,0.25138606802888075,1.0714976482438139,0.2842222219585343,0.7993257772425585,2.144069902568158,0.2842222219585343
PFOA,74,35,1.3218467781283891,0.13952486293330948,1.9998574252585546,0.04580455816467515,1.005225279472551,1.7381963431771366,0.04580455816467515
EtFOSAA,1,1,1.4454397707459274,0.7940240063341174,0.46398296769382874,0.6427679500546418,0.30426325101715895,6.866738338821646,0.6427679500546418
PFTeDA,51,23,1.4853824662440163,0.1138985086854098,3.4739023072962714,5.364842958381234e-4,1.1878512077957755,1.85743892546893,5.364842958381234e-4
PFDS,22,7,1.644091144552601,0.25833485427608377,1.924586356014072,0.05458430632474275,0.990252266578391,2.729643529053515,0.05458430632474275
10:2 Cl-PFESA,1,1,1.6879250609222005,0.7836959366797568,0.6679886617989685,0.5043056805559158,0.36258123701020584,7.85780046089097,0.5043056805559158
10:3 FTCA,1,1,1.694351378423958,0.8863361936793845,0.5949209834375114,0.5520402332139756,0.29756021111827935,9.64788465090187,0.5520402332139756
PFECHS,2,1,1.700763412492814,0.20272873776532363,2.6196444682112365,0.008944764783466458,1.1425026641072336,2.5318069499072138,0.008944764783466458
PFHxS,43,20,1.7576796314612502,0.1414108568914474,3.988339795051916,7.173069053332078e-5,1.331725032122249,2.319876560351502,7.173069053332078e-5
FOSA,32,15,1.7594135276684353,0.14666211248642236,3.8522595987809116,1.25013800585964e-4,1.3193715026348052,2.346220117048803,1.25013800585964e-4
8:2 FTS,1,1,1.8,0.7316509713018742,0.8033703062762727,0.42196491140574055,0.4282356764677305,7.565927310692317,0.42196491140574055
PFNOBS,1,1,1.8135749358381965,0.6752720522705031,0.8815706173510235,0.3782356130097595,0.4819454348876345,6.824536160753054,0.3782356130097595
cis-PFECHS,1,1,1.921296080061071,0.6647814564325638,0.9822776999590407,0.3262171565769597,0.5211921285345344,7.082567876911911,0.3262171565769597
PFHpS,9,6,1.9855614883381467,0.3086285618846448,2.222418222128474,0.026493630639920735,1.0835219797632554,3.6385550986543023,0.026493630639920735
PFDoDA,88,40,2.039713283217483,0.07165119509935454,9.94832325612415,3.117345571659488e-22,1.7721499394575473,2.3476739665760715,3.117345571659488e-22
PFTrDA,66,27,2.0443866900098535,0.12959726481089653,5.517846680417516,4.443753190949589e-8,1.5852825150768948,2.6364492754698143,4.443753190949589e-8
PFNA,88,39,2.2144881469334585,0.09150723972737282,8.688069864806154,1.6270465467330223e-17,1.8504667986525887,2.650119286917001,1.6270465467330223e-17
trans-PFECHS,1,1,2.254661836345618,0.6193114253089718,1.3127482665032344,0.18958990477216717,0.6687122706627399,7.601924204613886,0.18958990477216717
PFUnDA,94,45,2.414690903152373,0.08683691347644361,10.15203388981707,4.825665560062251e-23,2.0363387465465888,2.8633409680266193,4.825665560062251e-23
8:2 FTSA,2,2,2.421629895802286,0.41372333075315926,2.1377591215706997,0.03279506792897592,1.0752002950325033,5.454138525944241,0.03279506792897592
PFOS,154,58,2.64566325446453,0.07425831762957083,13.10185609860787,3.9503677685106525e-36,2.2868824540370247,3.06073189011862,3.9503677685106525e-36
6:2 H-PFESA,2,2,2.690562226052273,0.43068545679504616,2.2980812612240857,0.021777127144126128,1.1554941312301585,6.264960501835233,0.021777127144126128
PFDA,88,42,2.794723130920821,0.08856585232561591,11.604168152951171,3.5150023049041154e-29,2.348841358647036,3.325246871079797,3.5150023049041154e-29
F-53B,38,10,3.0779652934838397,0.12418260850822614,9.05335113497294,7.895175216291547e-19,2.412249810822022,3.927400182762435,7.895175216291547e-19
HFPO-TrA,4,4,3.263079683850192,0.3880961474831693,3.0473671161354323,0.0023734208027807488,1.5235315663386255,6.988820749375452,0.0023734208027807488
Cl-PFESA,1,1,3.37,0.5611298170143767,2.1651188504444474,0.03063093093879432,1.1204081144685947,10.13639570558317,0.03063093093879432
10:2 FTSA,2,2,3.4769330923627635,0.24900005377462023,5.00461984256137,6.686450226292651e-7,2.132909281431714,5.667875250958875,6.686450226292651e-7
PFNS,1,1,3.781043387568781,0.4094603676668435,3.2481776138152436,0.00120284406998943,1.6928817002448966,8.444942784017021,0.00120284406998943
8:2 H-PFESA,1,1,4.095955404071176,0.48061882500179315,2.9337177959992293,0.0034311030883415615,1.5948559823159136,10.519351501430219,0.0034311030883415615
H-PFMO2OSA,2,2,5.492795637522947,0.6281212847510693,2.711956099654728,0.006811493784071401,1.6011891332420138,18.842748360715312,0.006811493784071401
PFO5DoA,2,2,5.611592121063743,0.1695074065302354,10.175569994986072,3.8825413696029765e-23,4.023593657162495,7.8263286048104375,3.8825413696029765e-23
FHpPA,1,1,5.812437394402589,0.3111492833252956,5.656448831219007,2.0534135105150346e-8,3.1561980703499617,10.70415345007277,2.0534135105150346e-8
