"parameter_index","tau2","log_likelihood"
17,4.4425042856671e-07,-995.049163563384
17,0.00526357876356391,-995.075251912595
17,0.0105267132766992,-995.10849707407
17,0.0157898477898346,-995.138886711401
17,0.0210529823029699,-995.173512829136
17,0.0263161168161053,-995.209732661079
17,0.0315792513292406,-995.247355507032
17,0.0368423858423759,-995.288686935536
17,0.0421055203555113,-995.328727369822
17,0.0473686548686466,-995.369639066723
17,0.052631789381782,-995.411411660131
17,0.0578949238949173,-995.451528118297
17,0.0631580584080526,-995.494756470578
17,0.068421192921188,-995.538568253246
17,0.0736843274343233,-995.582897807202
17,0.0789474619474586,-995.627666264292
17,0.084210596460594,-995.672821410134
17,0.0894737309737293,-995.718309849908
17,0.0947368654868647,-995.764067196797
17,0.1,-995.810073684645
20,0.0677853037623839,-998.122402881966
20,0.121300017259003,-996.280554640356
20,0.174814730755622,-995.445483769679
20,0.22832944425224,-995.112506670651
20,0.281844157748859,-995.052605600996
20,0.335358871245478,-995.148127504453
20,0.388873584742097,-995.343684838354
20,0.442388298238716,-995.592258895591
20,0.495903011735334,-995.879344665742
20,0.549417725231953,-996.188220459522
20,0.602932438728572,-996.509701745658
20,0.656447152225191,-996.840299086823
20,0.70996186572181,-997.170653252885
20,0.763476579218429,-997.497989890848
20,0.816991292715047,-997.828294226765
20,0.870506006211666,-998.152299977601
20,0.924020719708285,-998.469114523505
20,0.977535433204904,-998.786129937871
20,1.03105014670152,-999.092510091784
20,1.08456486019814,-999.398418947939
30,4.75467275842107e-06,-995.046777607828
30,0.00526766232156061,-995.057732559082
30,0.0105305699703628,-995.064074416798
30,0.015793477619165,-995.073108624305
30,0.0210563852679672,-995.084813149006
30,0.0263192929167694,-995.094306674544
30,0.0315822005655715,-995.104013732599
30,0.0368451082143737,-995.11392701962
30,0.0421080158631759,-995.12403717626
30,0.0473709235119781,-995.134337686919
30,0.0526338311607803,-995.144829853626
30,0.0578967388095825,-995.153042631771
30,0.0631596464583847,-995.166326396954
30,0.0684225541071869,-995.177327149463
30,0.0736854617559891,-995.188479570287
30,0.0789483694047912,-995.199787022852
30,0.0842112770535934,-995.211231443614
30,0.0894741847023956,-995.220372530328
30,0.0947370923511978,-995.232094893978
30,0.1,-995.246391947562
31,0.0731520685702609,-995.565608225713
31,0.130903701652046,-995.272511556047
31,0.188655334733831,-995.126086717356
31,0.246406967815616,-995.06220677313
31,0.3041586008974,-995.047493388869
31,0.361910233979185,-995.06959618772
31,0.41966186706097,-995.117967034101
31,0.477413500142755,-995.180730286976
31,0.53516513322454,-995.255607151279
31,0.592916766306325,-995.339326378993
31,0.65066839938811,-995.429466861569
31,0.708420032469895,-995.524269518621
31,0.76617166555168,-995.62241344532
31,0.823923298633465,-995.722865889792
31,0.88167493171525,-995.824861775925
31,0.939426564797034,-995.927892978147
31,0.997178197878819,-996.031330886831
31,1.0549298309606,-996.134903084726
31,1.11268146404239,-996.238299523386
31,1.17043309712417,-996.341299771508
32,0.0486113301513121,-999.484299849938
32,0.0869886960602427,-997.045685471188
32,0.125366061969173,-995.740257118228
32,0.163743427878104,-995.165156275733
32,0.202120793787034,-995.053026304796
32,0.240498159695965,-995.243718000792
32,0.278875525604896,-995.631351140574
32,0.317252891513826,-996.149615076723
32,0.355630257422757,-996.754922242064
32,0.394007623331687,-997.417982144954
32,0.432384989240618,-998.118670717129
32,0.470762355149549,-998.842928209591
32,0.509139721058479,-999.580821297538
32,0.54751708696741,-1000.32521450579
32,0.58589445287634,-1001.0709811845
32,0.624271818785271,-1001.81439071988
32,0.662649184694202,-1002.55276250767
32,0.701026550603132,-1003.28412796814
32,0.739403916512063,-1004.00710118075
32,0.777781282420993,-1004.72069943989
33,0.0150802278894382,-995.869623945334
33,0.0269856709600473,-995.454176420732
33,0.0388911140306564,-995.201930486152
33,0.0507965571012656,-995.076856240826
33,0.0627020001718747,-995.050944291672
33,0.0746074432424838,-995.102694957655
33,0.0865128863130929,-995.212972153447
33,0.098418329383702,-995.374389012056
33,0.110323772454311,-995.574383455441
33,0.12222921552492,-995.805177298381
33,0.134134658595529,-996.063553707722
33,0.146040101666138,-996.335752424923
33,0.157945544736748,-996.626669067942
33,0.169850987807357,-996.930163084036
33,0.181756430877966,-997.24363401961
33,0.193661873948575,-997.564951418404
33,0.205567317019184,-997.892355761795
33,0.217472760089793,-998.224404165969
33,0.229378203160402,-998.559884665377
33,0.241283646231011,-998.897810833803
34,0.153615361102959,-997.653834638945
34,0.274890646184242,-996.021089282033
34,0.396165931265526,-995.349755607832
34,0.517441216346809,-995.096089998027
34,0.638716501428092,-995.049107330296
34,0.759991786509376,-995.118310930542
34,0.881267071590659,-995.252407013505
34,1.00254235667194,-995.42437099239
34,1.12381764175323,-995.620939292498
34,1.24509292683451,-995.827467692654
34,1.36636821191579,-996.04040705576
34,1.48764349699708,-996.255908903085
34,1.60891878207836,-996.468969614788
34,1.73019406715964,-996.685451063295
34,1.85146935224093,-996.894190377587
34,1.97274463732221,-997.102107285842
34,2.09401992240349,-997.306226747565
34,2.21529520748478,-997.508835151682
34,2.33657049256606,-997.702188757999
34,2.45784577764734,-997.893864309687
36,9.91785194960302e-08,-995.046751167748
36,0.00526325185333426,-995.09187006691
36,0.010526404528149,-995.138690157067
36,0.0157895572029638,-995.182376899035
36,0.0210527098777786,-995.222996340826
36,0.0263158625525933,-995.265403888597
36,0.0315790152274081,-995.309671204487
36,0.0368421679022228,-995.348457769325
36,0.0421053205770376,-995.38916206075
36,0.0473684732518524,-995.431717144791
36,0.0526316259266671,-995.469014229906
36,0.0578947786014819,-995.510622402933
36,0.0631579312762967,-995.54934585713
36,0.0684210839511114,-995.587622507154
36,0.0736842366259262,-995.623096247561
36,0.078947389300741,-995.663022696528
36,0.0842105419755557,-995.700011911816
36,0.0894736946503705,-995.734257718904
36,0.0947368473251853,-995.772948531733
36,0.1,-995.808951277778
38,0.316779344193141,-997.128556356119
38,0.566868300135095,-995.860261547509
38,0.816957256077049,-995.306358182393
38,1.067046212019,-995.089933787714
38,1.31713516796096,-995.05135344644
38,1.56722412390291,-995.113010758332
38,1.81731307984486,-995.23350011468
38,2.06740203578682,-995.389212449993
38,2.31749099172877,-995.565999005084
38,2.56757994767072,-995.755061106987
38,2.81766890361268,-995.950773379757
38,3.06775785955463,-996.149465852025
38,3.31784681549659,-996.348712499105
38,3.56793577143854,-996.54689609486
38,3.81802472738049,-996.742949907512
38,4.06811368332245,-996.936163409006
38,4.3182026392644,-997.126081070875
38,4.56829159520635,-997.312421850726
38,4.81838055114831,-997.495027414535
38,5.06846950709026,-997.673823412167
40,0.061247496734623,-997.442034933426
40,0.109600783630378,-996.040933331518
40,0.157954070526133,-995.379137868305
40,0.206307357421888,-995.103401535202
40,0.254660644317643,-995.052199712655
40,0.303013931213398,-995.139982497523
40,0.351367218109153,-995.317086286338
40,0.399720505004908,-995.553368302498
40,0.448073791900663,-995.826652116459
40,0.496427078796418,-996.129089838981
40,0.544780365692173,-996.44917338133
40,0.593133652587928,-996.783410710648
40,0.641486939483683,-997.119122979542
40,0.689840226379438,-997.464051786311
40,0.738193513275193,-997.807678579116
40,0.786546800170948,-998.150988046144
40,0.834900087066703,-998.49006443778
40,0.883253373962459,-998.829332935287
40,0.931606660858214,-999.165425438174
40,0.979959947753969,-999.497842854372
42,0.0482335532293031,-998.637941857196
42,0.0863126741998056,-996.665521343944
42,0.124391795170308,-995.612241008127
42,0.162470916140811,-995.144680087595
42,0.200550037111313,-995.051821984428
42,0.238629158081815,-995.209731821109
42,0.276708279052318,-995.534283832925
42,0.31478740002282,-995.972307455682
42,0.352866520993323,-996.488234170397
42,0.390945641963825,-997.057696514859
42,0.429024762934328,-997.663635265093
42,0.46710388390483,-998.293905119745
42,0.505183004875333,-998.939727006138
42,0.543262125845835,-999.5946884752
42,0.581341246816338,-1000.25405663928
42,0.61942036778684,-1000.91431563092
42,0.657499488757343,-1001.57283569499
42,0.695578609727845,-1002.22767610043
42,0.733657730698347,-1002.87736024974
42,0.77173685166885,-1003.52081786711
46,0.0994393399133364,-1000.36006625073
46,0.177944081950181,-997.218143337846
46,0.256448823987026,-995.755354363615
46,0.33495356602387,-995.162966827965
46,0.413458308060715,-995.055279792931
46,0.491963050097559,-995.233408336311
46,0.570467792134404,-995.58462865105
46,0.648972534171248,-996.049164063781
46,0.727477276208093,-996.584301860496
46,0.805982018244938,-997.164279048591
46,0.884486760281782,-997.772070942025
46,0.962991502318627,-998.396153417839
46,1.04149624435547,-999.028571893178
46,1.12000098639232,-999.66379014338
46,1.19850572842916,-1000.29790816586
46,1.27701047046601,-1000.92817092426
46,1.35551521250285,-1001.55262232111
46,1.43401995453969,-1002.16990370278
46,1.51252469657654,-1002.77906791888
46,1.59102943861338,-1003.37947814105
47,0.0360446839271551,-999.718077904347
47,0.0645010133433301,-997.093486805826
47,0.0929573427595052,-995.751421886113
47,0.12141367217568,-995.167288877101
47,0.149870001591855,-995.053040825597
47,0.17832633100803,-995.247762529626
47,0.206782660424205,-995.647548495094
47,0.23523898984038,-996.187354643309
47,0.263695319256555,-996.824054782398
47,0.29215164867273,-997.52817058221
47,0.320607978088906,-998.279091895744
47,0.349064307505081,-999.06207969382
47,0.377520636921256,-999.86644034974
47,0.405976966337431,-1000.68430456691
47,0.434433295753606,-1001.50983384232
47,0.462889625169781,-1002.33863296478
47,0.491345954585956,-1003.16738573194
47,0.519802284002131,-1003.99359521569
47,0.548258613418306,-1004.815358661
47,0.576714942834481,-1005.63123364706
48,5.26506133498631e-07,-995.049199009705
48,0.00526365669002121,-995.065403218305
48,0.0105267868739089,-995.083945405
48,0.0157899170577966,-995.102388488972
48,0.0210530472416843,-995.120733710464
48,0.0263161774255721,-995.141447481569
48,0.0315793076094598,-995.157140055004
48,0.0368424377933475,-995.175213770632
48,0.0421055679772352,-995.1956333778
48,0.0473686981611229,-995.211027107317
48,0.0526318283450106,-995.231210398198
48,0.0578949585288983,-995.248909050295
48,0.063158088712786,-995.266515824536
48,0.0684212188966737,-995.283990726921
48,0.0736843490805615,-995.299001481352
48,0.0789474792644492,-995.316333018559
48,0.0842106094483369,-995.333579419627
48,0.0894737396322246,-995.353163076566
48,0.0947368698161123,-995.37021220636
48,0.1,-995.387210146525
49,0.0328761509151648,-995.820359366004
49,0.0588310069008212,-995.416333910216
49,0.0847858628864777,-995.18170312111
49,0.110740718872134,-995.073130362916
49,0.13669557485779,-995.050648549655
49,0.162650430843447,-995.093858795265
49,0.188605286829103,-995.184139446931
49,0.21456014281476,-995.314899736943
49,0.240514998800416,-995.477622274845
49,0.266469854786073,-995.660259433383
49,0.292424710771729,-995.857731202178
49,0.318379566757385,-996.071566530148
49,0.344334422743042,-996.295928596067
49,0.370289278728698,-996.528375664396
49,0.396244134714355,-996.766956520029
49,0.422198990700011,-997.010104373498
49,0.448153846685668,-997.25650939657
49,0.474108702671324,-997.507931978801
49,0.50006355865698,-997.755235720968
49,0.526018414642637,-998.006009018826
50,0.10677020549994,-1002.89982541811
50,0.191062472999893,-998.134106594096
50,0.275354740499846,-996.019945889174
50,0.359647007999798,-995.201466098486
50,0.443939275499751,-995.057004286635
50,0.528231542999704,-995.284035713573
50,0.612523810499657,-995.723944878054
50,0.696816077999609,-996.285365343276
50,0.781108345499562,-996.921496935767
50,0.865400612999515,-997.597923455153
50,0.949692880499467,-998.294678995433
50,1.03398514799942,-998.998988921749
50,1.11827741549937,-999.702573188504
50,1.20256968299933,-1000.4027240104
50,1.28686195049928,-1001.09056628664
