Initial_check,Initials_data_extraction,TMF_ID,FW_ID,Study_ID,PFAS_ID,Sample_type,Sample_type_comment,Biomass_conversion,Biomass_conversion_comment,Regression_type,Regression_type_comment,Conc_determ_method,Conc_determ_method_comment,Undetected_strategy_LOD,Undetected_strategy_LOQ,Censored_data_strategy,TMF_formula,TMF,TMF_lower_95CI,TMF_upper_95CI,TMF_se,TMS,TMS_lower_95CI,TMS_upper_95CI,TMS_se,TMS_calculated,TMS_se_calculated,n_samples,n_obs,n_obs_comment,tau/rho,intercept,pvalue,pvalue_adj,r,TMS_comment
,LR,TMF_001,FW_001,S_001,PFHpA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,1.43,0.89,2.29,na,0.15,na,na,na,na,na,101,,,na,-1.69,0.14,0.14,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_002,FW_001,S_001,PFOA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,3.28,2.33,4.61,na,0.51,na,na,na,na,na,101,,,na,-2.35,1.6*10^-9,0.0000000016,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_003,FW_001,S_001,PFNA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,7.03,4.99,9.88,na,0.84,na,na,na,na,na,101,,,na,-3.71,8.6*10^-18,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_004,FW_001,S_001,PFDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,8.29,5.68,12.1,na,0.92,na,na,na,na,na,101,,,na,-3.46,2.5*10^-17,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_005,FW_001,S_001,PFUnDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,7.98,6.25,10.2,na,0.9,na,na,na,na,na,101,,,na,-2.98,6.8*10^-22,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_006,FW_001,S_001,PFDoDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,4.79,3.89,5.87,na,0.68,na,na,na,na,na,101,,,na,-2.72,4.3*10^-24,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_007,FW_001,S_001,PFTeDA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,2.37,1.84,3.05,na,0.38,na,na,na,na,na,101,,,na,-2.14,1.8*10^-9,0.0000000018,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_008,FW_001,S_001,PFOS,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,17.4,11.9,26,na,1.24,na,na,na,na,na,101,,,na,-3.74,3.1*10^-23,0,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_009,FW_001,S_001,FOSA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,wet weight concentrations (ww),na,not provided,not provided,na,10^slope,5.09,2.94,8.82,na,0.7,na,na,na,na,na,101,,,na,-2.62,1.0*10^-7,0.0000001,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
,LR,TMF_010,FW_001,S_001,PFHpA,specific tissues and whole-organisms,Capelin is the only organisms analysed as a whole. All other biota are analysed as tissue specific.,no,na,Linear regression,na,protein equivalent corrected concentrations (pw),na,not provided,not provided,na,10^slope,0.76,0.38,0.99,na,-0.12,na,na,na,na,na,101,,,na,0.68,0.1,0.1,na,TMS 95%CIs were calculated from TMF 95% CIs using formula TMS CI = log(TMF CI). SE alculated from CIs.
