Initials_double_checker,Initials_data_extraction,FW_ID,Study_ID,,Ecosystem,Ecosystem_comment,,,Latitude,Longitude,Coordinates_comment,Latitude_DD,Longitude_DD,Species_composition,n_species,Species_highest_TL,Species_cn_highest_TL,Taxa_highest_TL,TL_calculation_method,TL_calculation_method_comment,TL_values,TL_values_comment,FoodWeb_comment
,LR,FW_001,S_001,,marine,"Hudson Bay, Canada",,,64° 15′ N,113° 07′ W,Figure S1,64.25°,-113.1167°,fish and other species,8,Delphinapterus leucas,Beluga whale,Marine mammal,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","The authors do not provide the trophic level formula. However, they state ""Stable nitrogen isotope analyses (i.e., δ15N measurements) were previously used to determine TL of the various organisms in this food web (S1)."" and provide the TL formula and values in the following article: Kelly, B. C., Ikonomou, M. G., Blair, J. D., & Gobas, F. A. (2008). Bioaccumulation behaviour of polybrominated diphenyl ethers (PBDEs) in a Canadian Arctic marine food web. Science of the Total Environment, 401(1-3), 60-72.","1, 3.3, 3.5, 3.1, 3.5, 3.9, 4","The authors do not report TL values. However, they state they used the same values reported in: Kelly, B. C., Ikonomou, M. G., Blair, J. D., & Gobas, F. A. (2008). Bioaccumulation behaviour of polybrominated diphenyl ethers (PBDEs) in a Canadian Arctic marine food web. Science of the Total Environment, 401(1-3), 60-72. We extracted TL values from the suggested publication.",Overall Arctic marine food web. 
,LR,FW_002,S_001,,marine,"Hudson Bay, Canada",,,64° 15′ N,113° 07′ W,Figure S1,64.25°,-113.1167°,fish only,4,Boreogadus saida,Arctic cod,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors","The authors do not provide the trophic level formula. However, they state ""Stable nitrogen isotope analyses (i.e., δ15N measurements) were previously used to determine TL of the various organisms in this food web (S1)."" and provide the TL formula and values in the following article: Kelly, B. C., Ikonomou, M. G., Blair, J. D., & Gobas, F. A. (2008). Bioaccumulation behaviour of polybrominated diphenyl ethers (PBDEs) in a Canadian Arctic marine food web. Science of the Total Environment, 401(1-3), 60-72.","3.3, 3.5, 3.1","The authors do not report TL values. However, they state they used the same values reported in: Kelly, B. C., Ikonomou, M. G., Blair, J. D., & Gobas, F. A. (2008). Bioaccumulation behaviour of polybrominated diphenyl ethers (PBDEs) in a Canadian Arctic marine food web. Science of the Total Environment, 401(1-3), 60-72. We extracted TL values from the suggested publication.",Marine piscivorous food web.
,LR,FW_003,S_002,,freshwater,"Site 1. Le Rhône (Ile du Beurre), France",,,45°27’ N,4° 48’ E,Figure S1,45.45°,4.8°,fish and other species,12,Barbus barbus,Common barbel,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.12-3.64, 2.1, 2.37, 1.77, 2.47-2.86, 1.92-2.91, 1.98, 2.24-2.48, 2.14, 1.96, 1.85-2.15, 1.86-2.47",Data extracted from Table S12.,"The study has five different sampling sites where different species where sampled and invidivual TMFs were estimated. Thus, we divided the 5 sampling sites in 5 food webs."
,LR,FW_004,S_002,,freshwater,"Site 2. La Bourbre (La Verpillière), France",,,45° 38' N ,5° 09' E,Figure S1,45.6333°,5.15°,fish and other species,8,Barbus barbus,Common barbel,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"3.35-3.90, 2.61-3.18, 2.82-3.15, 2.34, 3.07, 2.47-2.52, 1.94-2.06, 2.83",Data extracted from Table S12.,"The study has five different sampling sites where different species where sampled and invidivual TMFs were estimated. Thus, we divided the 5 sampling sites in 5 food webs."
,LR,FW_005,S_002,,freshwater,"Site 3. Le Furan (Andrézieux-Bouthéon), France",,,45°31’ N,4°15’ E,Figure S1,45.5167°,4.25°,fish and other species,10,Hydropsychidae ,Net spinning caddis,Insect,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.25-4.86, 4.48, 1.85-2.41, 2, 4.31-4.85, 5.41, 3.48-3.92, 3.7, 3.81, 2.62-2.70",Data extracted from Table S12.,"The study has five different sampling sites where different species where sampled and invidivual TMFs were estimated. Thus, we divided the 5 sampling sites in 5 food webs."
,LR,FW_006,S_002,,freshwater,"Site 4. La Luynes (Aix-en-Provence), France",,,43° 28’ N,5° 25’ E,Figure S1,43.4667°,5.4167°,fish and other species,9,Squalius cephalus,Common chub,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.28-3.04, 2.55-2.60, 1.88, 2.46, 2.71-2.94, 2, 1.69-2.06, 3.19, 1.42-1.94",Data extracted from Table S12.,"The study has five different sampling sites where different species where sampled and invidivual TMFs were estimated. Thus, we divided the 5 sampling sites in 5 food webs."
,LR,FW_007,S_002,,freshwater,"Site 5. La Bourbre (Tignieu-Jameyzieu), France",,,45° 42' N,5° 09' E,Figure S1,45.7°,5.15°,fish and other species,12,Barbus barbus,Common barbel,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"4.02-4.39, 3.15-3.91, 3.15-3.91, 2.42, 2, 2.82, 3.3, 2.52-2.56, 2.9, 2.76, 3.5, 3.32",Data extracted from Table S12.,"The study has five different sampling sites where different species where sampled and invidivual TMFs were estimated. Thus, we divided the 5 sampling sites in 5 food webs."
,LR,FW_008,S_003,,freshwater,"Taihu lake, Meiliang area, China",,,31° 30' N,120° 10' E,Figure S1,31.5°,120.1667°,fish and other species,15,Cololabis saira,Saury,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.83±0.09, 2±0.00, 4.22±0.01, 3.45±0.02, 2.78±0.02, 3.42±0.02, 2.48±0.02, 4.09±0.07, 3.88±0.02, 4.24±0.02, 3.51±0.001, 3.77±0.01, 3.18±0.03, 3.58±0.02, 4.14±0.02",Data extracted from Table 1.,including invertebrates
,LR,FW_009,S_003,,freshwater,"Taihu lake, Meiliang area, China",,,31° 30' N,120° 10' E,Figure S1,31.5°,120.1667°,fish and other species,12,Cololabis saira,Saury,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"1.83±0.09, 2±0.00, 3.42±0.02, 2.48±0.02, 4.09±0.07, 3.88±0.02, 4.24±0.02, 3.51±0.001, 3.77±0.01, 3.18±0.03, 3.58±0.02, 4.14±0.02,",Data extracted from Table 1.,excluding invertebrates
,LR,FW_010,S_004,,freshwater,"Lake Mergozzo, Italy",,,45° 57' N,8° 27' E,Figure 1,45.95°,8.45°,fish and other species,20,Salvelinus alpinus,Arctic char,Fish,"from biological enrichment or fractionation of the stable isotopes of N (i.e., δ15N) using enrichment factors",NA,"2.5, 4.1, 4.4, 4.5, 4.6, 4.7, 4.7, 4.7, 4.8, 4.8, 5, 5, 5.1, 5.1, 5.2, 5.2, 5.3, 5.3, 5.5, 5.7",Data extracted from Table 1.,including zooplankton
