key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-735664957,Polar Bears Are in Trouble–and Ice Melt's Not the Half of It.,2012,12,1,BioScience,0006-3568,62,12,1014-1018,NA,https://research.ebsco.com/linkprocessor/plink?id=f63e10f0-ffbb-3df6-a603-a012819d0d49,eng,NA,NA,"The article discusses the risks of environmental pollution to polar bear populations, focusing on the effects industrial pollutants that have been transported into the Arctic food chain to accumulate in the species. It is noted that melting of sea ice in Greenland has threatened polar bear habitats and increases the levels of contaminants evaporating into the environment. Other topics include the effects of sea ice thawing on polar bear predation on ringed seals, detection of pollutants such as brominated flame retardants, perfluoro compounds, and mercury in polar bear blood and tissue, and research methods for trapping and toxin sampling from polar bears.",NA,10.1525/bio.2012.62.12.3,Greenland;Bioaccumulation;Mammals;Freezing;Industrial pollution;Ringed seal;Animal populations;Effect of climate on polar bears;Effect of pollution on animals;Marine food chain;Sea ice thawing;Trapping;Wildlife research,NA,NA
rayyan-735663249,Quantifying Uncertainty in the Trophic Magnification Factor Related to Spatial Movements of Organisms in a Food Web,2015,NA,NA,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,"[""1551-3777"", ""1551-3793""]",11,2,306-318,NA,NA,NA,NA,NA,"Trophic magnification factors (TMFs) provide a method of assessing chemical biomagnification in food webs and are increasingly being used by policy makers to screen emerging chemicals. Recent reviews have encouraged the use of bioaccumulation models as screening tools for assessing TMFs for emerging chemicals of concern. The present study used a food web bioaccumulation model to estimate TMFs for polychlorinated biphenyls (PCBs) in a riverine system. The uncertainty associated with model predicted TMFs was evaluated against realistic ranges for model inputs (water and sediment PCB contamination) and variation in environmental, physiological, and ecological parameters included within the model. Finally, the model was used to explore interactions between spatial heterogeneity in water and sediment contaminant concentrations and theoretical movement profiles of different fish species included in the model. The model predictions of magnitude of TMFs conformed to empirical studies. There were differences in the relationship between the TMF and the octanol-water partitioning coefficient (KOW) depending on the modeling approach used; a parabolic relationship was predicted under deterministic scenarios, whereas a linear TMF-KOW relationship was predicted when the model was run stochastically. Incorporating spatial movements by fish had a major influence on the magnitude and variation of TMFs. Under conditions where organisms are collected exclusively from clean locations in highly heterogeneous systems, the results showed bias toward higher TMF estimates, for example the TMF for PCB 153 increased from 2.7 to 5.6 when fish movement was included. Small underestimations of TMFs were found where organisms were exclusively sampled in contaminated regions, although the model was found to be more robust to this sampling condition than the former for this system. (C) 2014 SETAC",NA,10.1002/ieam.1599,character(0),NA,NA
rayyan-735662912,Fractionation and bioaccumulation of perfluorooctane sulfonate (PFOS) isomers in a Lake Ontario food web,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1021/es800906r,Food;Sulfones,NA,NA
rayyan-735664572,"Effects of chronic perfluorooctanoic acid (PFOA) at low concentration on morphometrics, gene expression, and fecundity in zebrafish (Danio rerio)",2017,NA,NA,Reproductive Toxicology,NA,69,NA,34-42,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012237793&doi=10.1016%2fj.reprotox.2017.01.009&partnerID=40&md5=3e567f781a7a0ec9e6e26cf8035a5044,NA,NA,NA,"Perfluorooctanoic acid (PFOA) is a persistent, toxic, anthropogenic chemical recalcitrant to biodegradation. Based on previous studies in lower and higher vertebrates, it was hypothesized that chronic, sub-lethal, embryonic exposure to PFOA in zebrafish (Danio rerio) would adversely impact fish development, survival, and fecundity. Zebrafish embryo/sac-fry were water exposed to 2.0 or 0 nM PFOA from 3 to 120 hpf, and juvenile to adult cohorts were fed spiked food (8 pM) until 6 months. After chronic exposure, PFOA exposed fish were significantly smaller in total weight and length. Gene expression analysis found a significant decrease of transporters slco2b1, slco4a1, slco3a1 and tgfb1a, and a significant increase of slco1d1 expression. PFOA exposed fish produced significantly fewer eggs with reduced viability and developmental stage delay in F1. Chronic, low-dose exposure of zebrafish to PFOA significantly altered normal development, survival and fecundity and would likely impact wild fish population fitness in watersheds chronically exposed to PFOA. © 2017 Elsevier Inc.",NA,10.1016/j.reprotox.2017.01.009,Female;Fluorocarbons;Animals;Article;Fertility;animal;female;fluorocarbon;male;Male;nonhuman;controlled study;survival;animal tissue;water pollutant;perfluorooctanoic acid;adult;gene;gene expression;genetics;toxicity;embryo development;Embryonic Development;embryo;cohort analysis;body weight;growth;progeny;animal cell;zebra fish;morphometry;Caprylates;octanoic acid derivative;PFOA;physiology;Zebrafish;age distribution;nonmammalian embryo;gene expression regulation;Gene Expression Regulation;cell viability;drug effects;fertility;aging;fitness;watershed;Embryo;Water Pollutants;body height;Developmental;long term exposure;development;Chemical;growth retardation;Nonmammalian;tgfb1a gene;slco1d1 gene;slco2b1 gene;slco3a1 gene;slco4a1 gene;Zebrafish development;Zebrafish fecundity;Zebrafish reproduction;Gene Expression,NA,NA
rayyan-735663869,"Legacy and Emerging Per- and Polyfluoroalkyl Substances Surveillance in Bufo gargarizans from Inlet Watersheds of Chaohu Lake, China: Tissue Distribution and Bioaccumulation Potential",2023,NA,NA,Environmental Science and Technology,NA,57,35,13148-13160,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169005317&doi=10.1021%2facs.est.3c02660&partnerID=40&md5=e7b7619cc1c37953d22b9d8771245c20,NA,NA,NA,"Amphibians are sensitive biomonitors of environmental pollutants but reports regarding per- and polyfluoroalkyl substances (PFAS), a class of synthetic organofluorine substances, are limited. In this study, samples of water and Chinese toads (Bufo gargarizans) were collected in Chaohu Lake, China. Tissue-specific bioaccumulation characteristics of 39 PFAS, including 19 perfluoroalkyl acids (PFAAs), 8 emerging PFAS, and 12 PFAA precursors, were investigated, and the levels of some biochemical indicators were determined. The highest PFAS concentrations were found in the liver [215.97 ng/g dry weight (dw)] of Chinese toads, followed by gonads (135.42 ng/g dw) and intestine (114.08 ng/g dw). A similar tissue distribution profile was found between legacy and emerging PFAS in the toads, and the occurrence of two emerging PFAS, 2,3,3,3-tetrafluoro-2-propanoate (HFPO-DA) and 6:2 hydrogen-substituted polyfluorooctane ether sulfonate (6:2 H-PFESA) in the amphibians were for the first time reported. Field-based bioaccumulation factors of HFPO-DA were higher than perfluorooctanoic acid, indicating the higher bioaccumulation potential of this emerging PFAS than the legacy C8 compound. Males had significantly higher gonad PFAS levels than females while estradiol levels in gonads increased with increasing concentrations of certain PFAS (e.g., 6:2 H-PFESA), implying that PFAS may trigger estrogenic effects in the toads, especially for male toads. © 2023 American Chemical Society.",NA,10.1021/acs.est.3c02660,Biochemistry;Alkanesulfonic Acids;Female;Fluorocarbons;Animals;Article;Environmental Monitoring;Bioaccumulation;Tissue Distribution;China;animal;female;fluorocarbon;male;Male;nonhuman;animal experiment;bioaccumulation;environmental monitoring;animal tissue;Polyfluoroalkyl substances;water pollutant;perfluorooctanoic acid;quality control;alkanesulfonic acid;sulfonate;Tissue;liver;water;tissue distribution;organofluorine;intestine;lake;Lakes;bay;dry weight;Bays;estradiol;estradiol blood level;watershed;physicochemical property;substitution reaction;Water Pollutants;gonad;Chemical;3;Bioconcentration;3-tetrafluoro-2-(heptafluoropropoxy)-propanoate;ammonium 2;Amphibian;ADONA;amphibians;Anhui;bioconcentration;Bufo gargarizans;Bufonidae;Chaohu Lake;Cl-PFESA;Gonad;H-PFESA;PFAS precursor;Polyfluoroalkyl substance precursor;sex hormone disorder;Sex hormone disorder;Sex hormones,NA,NA
rayyan-735663981,Microplastics and Per- and Polyfluoroalkyl Substances (PFAS) Analysis in Sea Turtles and Bottlenose Dolphins along Mississippi’s Coast,2023,NA,NA,Analytica,NA,4,1,12-26,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168608791&doi=10.3390%2fanalytica4010003&partnerID=40&md5=a027e9af418be33cfc1b77fe7f43ac17,NA,NA,NA,"Global plastic production and usage has increased annually for decades and microplastic pollutants (≤5 mm) are a growing concern. Microplastics in surface waters can adsorb and desorb harmful chemicals such as per- and polyfluoroalkyl substances (PFAS). Microplastics can accumulate across all tropic levels in the marine food web. The purpose of this research was to analyze the stomach and intestinal contents of stranded (Mississippi coast) bottlenose dolphins and sea turtles for the presence of microplastics and commonly found PFAS, PFOS, PFOA, and GenX. Gut contents were digested (10% KOH in 50% MeOH) and then analyzed for microplastics using pyrolysis gas chromatography-mass spectrometry (Pyro-GC-MS), Nile red microscopy, X-ray photo electron spectroscopy (XPS), and Raman spectroscopy. Digested sample filtrate was pre-concentrated using solid-phase extraction (SPE) before PFAS liquid chromatography-tandem mass spectrometry (LC-MS/MS) analysis. The PFOS extraction and analysis had 98.6% recovery when validated with certified pike‒perch fish reference material. The Nile red testing on most samples revealed the presence of microplastics (Table S1). The Pyro-GC-MS results from two samples confirmed the presence of the plasticizer acetamide. The Raman spectroscopy analysis indicated characteristic plastic peaks corresponding to polystyrene in one sample. PFOS (95.5 to 1,934.5 µg/kg) was detected in three dolphin stomach samples. This project is part of a long-term study with the goal of a better understanding of microplastics and PFAS environmental contamination and their impact on bottlenose dolphins and sea turtles. © 2023 by the authors.",NA,10.3390/analytica4010003,PFAS;PFOS;analysis;dolphin;microplastics;Pyro-GC-MS;sea turtles;Mississippi,NA,NA
rayyan-735663996,"Occurrence, spatial heterogeneity, and risk assessment of perfluoroalkyl acids (PFAAs) in the major rivers of the Tibetan Plateau",2023,NA,NA,Science of the Total Environment,NA,856,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138992171&doi=10.1016%2fj.scitotenv.2022.159026&partnerID=40&md5=c574a1fc0dc2043ddb59824b6cc41f20,NA,NA,NA,"The Tibetan Plateau (TP) is home to the headwaters of major rivers in Asia, yet their water quality security on a large spatial scale is scarcely studied, especially in regard to emerging organic pollutants. In this study, a systematic field campaign was carried out along Yarlung Tsangpo River, Nu River, Lancang River and Jinsha River, and 13 perfluoroalkyl acids (PFAAs) were analyzed. The total concentrations of PFAAs in the river waters of the TP were in the range of 0.58–7.46 ng/L, containing a high proportion of perfluorobutanoic acid (PFBA) and perfluorobutane sulfonate (PFBS) with average values of 56.7 %. Elevated PFAA loadings were found for the midstream of Yarlung Tsangpo River in central Tibet. Geodetector results indicated that precipitation, solar radiation and vegetation type were the top three influential factors contributing to the observed spatial heterogeneity. When interactions with human activities were taken into account, the explanatory power was significantly enhanced and rose above 0.70, highlighting the increased risks for TP rivers from the combined effects of natural environments and anthropogenic activities. Risk assessments suggest a low risk is posed to the alpine aquatic ecosystems and human health. The discharge fluxes of PFAAs via riverine export were estimated at 94–425 kg/year, which is one to two orders of magnitude lower than their mass loadings in major rivers worldwide. Our study underlined the need for further attention to the increased risk of water resource quality on the central TP in the context of long-range transport, increased cryosphere melting and local emission. © 2022",NA,10.1016/j.scitotenv.2022.159026,Perfluoroalkyl acids;Fluorocarbons;Humans;Rivers;Article;Environmental Monitoring;China;Risk Assessment;ecosystem;Ecosystem;fluorocarbon;unclassified drug;Organic pollutants;environmental monitoring;Health risks;water pollutant;perfluorododecanoic acid;perfluorotridecanoic acid;spatial distribution;Spatial distribution;water pollution;procedures;perfluorohexanesulfonic acid;perfluorohexanoic acid;risk assessment;Risk assessment;Risks assessments;human;river water;perfluoroalkyl carboxylic acid;perfluorononanoic acid;perfluoroheptanoic acid;perfluoropentanoic acid;perfluorobutanoic acid;perfluorobutanesulfonic acid;organic pollutant;aquatic environment;River pollution;aquatic ecosystem;correlation analysis;public health;water resource;water supply;vegetation;perfluoroalkyl sulfonic acid;polyfunctional group;human activity;River water;Water Pollutants;water quality;Water quality;Chemical;human impact (environment);Aquatic ecosystems;Tibet;human activities;cryosphere;Head waters;headwater;Heterogeneity assessment;Influencing factor;Influencing factors;Jinsha River;Mekong River;river ecosystem;solar radiation;Spatial heterogeneity;Tibetan Plateau;Water quality securities;Yarlung-Tsangpo River,NA,NA
rayyan-735663765,Anti-<i>Pentatrichomonas hominis</i> activity of newly synthesized benzimidazole derivatives - <i>in vitro</i> studies,2009,NA,NA,ACTA PARASITOLOGICA,1230-2821,54,2,165-171,NA,NA,NA,NA,NA,"Pentatrichomonas hominis, a parasitic protozoan often detected in human diarrheic stools, is the cause of severe morbidity in newborns and children, particularly in tropical zones. The flagellate is resistant to many disinfectants and anti-protozoan drugs. Therefore in this study we have synthesized three novel 4,5,6,7-tetrabromobenzimidazole (TBBI) derivatives carrying a polyfluoroalkyl substituent in position 2 of the benzimidazole scaffold, namely 2-trifluoromethyl-TBBI (CF(3)-TBBI), 2-nonafluorobutyl-TBBI (C(4)F(9)-TBBI), and 2-nonadecafluorononyl-TBBI (C(9)F(19)-TBBI), that next we tested for their in vitro activity against P. hominis.Widely applied anti-protozoal drug, metronidazole as a reference was used. All the investigated agents were added to 24 h P. hominis cultures; each of them was administered at three different concentrations. Number of the moving trichomonads was determined and compared with the control cultures. Different anti-trichomonal activity occurred depending on a kind of compound and its concentration. C(4)F(9)-TBBI was the most effective TBBI derivative tested: the agent, at the highest concentration 24.2 mu g/ml, after 72 h reduced the number of viable trichomonads to 44.3%; C(9)F(19)-TBBI, at the concentration 24 mu g/ml reduced the number of the flagellates to 58.5%. Paradoxically, metronidazole after the same time given at the highest concentration increased trophozoite counts by 464.6% in comparison with the control cultures (100%).",NA,10.2478/s11686-009-0024-4,Benzimidazoles,NA,NA
rayyan-735663390,"PERFLUOROOCTANE SULFONATE TOXICITY, ISOMER-SPECIFIC ACCUMULATION, AND MATERNAL TRANSFER IN ZEBRAFISH (<i>DANIO RERIO</i>) AND RAINBOW TROUT (<i>ONCORHYNCHUS MYKISS</i>)",2010,NA,NA,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,"[""0730-7268"", ""1552-8618""]",29,9,1957-1966,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149276233&doi=10.1002%2fetc.257&partnerID=40&md5=92f8926d0de89c4457fbf3534b6f47b2,NA,NA,NA,"Perfluorooctane sulfonate (PFOS; C8F17SO3-) bioaccumulation and toxicity have been demonstrated in both aquatic and terrestrial organisms. The majority of investigations have examined total PFOS concentrations in wildlife and in toxicity testing, but isomer-specific monitoring studies are less common, and no laboratory-based study of PFOS isomer accumulation in fish has been reported. The present study examined accumulation and maternal transfer of PFOS isomers in zebrafish and tissue-specific accumulation of PFOS isomers in trout parr. A median lethal dose (LC50) of 22.2 and 2.5 mg/L was calculated for adult zebrafish and trout parr, respectively. A two-week PFOS exposure resulted in tissue-specific PFOS accumulation in trout, with maximum concentrations identified in the liver tissue (>50 mu g/g). Prior exposure to PFOS as alevin did not affect the accumulation of PFOS in tissues later in life. In both species, accumulation of branched PFOS isomers generally occurred to a lesser extent than linear PFOS, which may explain the relative deficiency of branched PFOS isomers in some aquatic species in the field. Analysis of exposed trout tissues indicated that isomer discrimination may occur at the level of elimination or uptake and elimination processes in the kidney or gill, respectively. When zebrafish underwent a reproductive cycle in the presence of PFOS, approximately 10% (wt) of the adult PFOS body burden was transferred to the developing embryos, resulting in a higher total PFOS concentration in eggs (116 +/- 13.3 mu g/g) than in the parent fish (72.1 +/- 7.6 mu g/g). The isomer profile in eggs was not significantly different from that of adults, suggesting that the maternal transfer of branched and linear PFOS isomers in fish is largely nonisomer specific. Environ. Toxicol. Chem. 2010;29:1957-1966. (C) 2010 SETAC",NA,10.1002/etc.257,Biochemistry;Alkanesulfonic Acids;Female;Fluorocarbons;Animals;Environmental Monitoring;Perfluorooctane sulfonates;Sulfur compounds;Ovum;Pregnancy;Fertility;Maternal Exposure;female;male;nonhuman;reproduction;animal experiment;controlled study;bioaccumulation;animal tissue;Histology;perfluorooctanesulfonic acid;surfactant;Tissue;Toxicity;embryo;liver;article;Perfluorooctane sulfonate;priority journal;Maternal transfer;toxicity test;Body burden;Oncorhynchus mykiss;zebra fish;chemical structure;Zebrafish;Isomers;cyprinid;Danio rerio;biological uptake;fertility;Isomerism;Liver tissue;Salmonidae;salmonid;Water Pollutants;Chemical;Bioconcentration;Aquatic species;Elimination process;Isomer discrimination;lethal dose;Lethal dose;rainbow trout;Rainbow trout;reproductive cycle;Reproductive cycle;Terrestrial organisms;Tissue-specific accumulation;Toxicity testing;Sulfones,NA,NA
rayyan-735664357,Concentration and distribution of per- and polyfluoroalkyl substances (PFAS) in the Asan Lake area of South Korea,2020,NA,NA,Journal of Hazardous Materials,NA,381,NA,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069696508&doi=10.1016%2fj.jhazmat.2019.120909&partnerID=40&md5=8688e3598035b47f2fb79cc2ddbe9632,NA,NA,NA,"Seasonal and spatial variations in per- and polyfluoroalkyl substances (PFAS) concentrations in different environmental media in the Asan Lake area of South Korea were investigated by measuring liquid chromatography-tandem mass spectrometry (LC–MS/MS). The mean concentrations of Σ16 PFAS in the different media were in the ranges of 20.7–98.2 pg/m3 in air, 17.7–467 ng/L in water, 0.04–15.0 ng/g dry weight (dw) in sediments, and not detected (n.d.)–12.9 ng/g dw in soils, and the mean concentrations of Σ19 PFAS in fish ranged from n.d. to 197 ng/g wet weight. The most frequently detected PFAS were perfluorooctanoic acid (PFOA) in air and soils, perfluoropentanoic acid (PFPeA) in water, and perfluorooctane sulfonate (PFOS) in sediment and fish. Long-chain PFAS species dominated over short-chain PFAS in most media samples except for the water phase. Sediment-water partition coefficients (log Kd) and bioaccumulation factors (log BAF) of PFAS were calculated using measured concentrations in water, sediments, and fish. Log Kd of PFAS tended to increase with increasing CF2 units of PFAS, and perfluorodecanoic acid (PFDA) and PFOS showed the highest log BAF value (> 3.0) in all fish species. These results indicate that longer-chain PFAS, especially PFOS, can be effectively accumulated in biota such as fish. © 2019 Elsevier B.V.",NA,10.1016/j.jhazmat.2019.120909,Biochemistry;Fish;Alkanesulfonic Acids;Fluorocarbons;Liquid chromatography-tandem mass spectrometry;Animals;Article;Environmental Monitoring;Perfluorooctane sulfonates;Bioaccumulation;Fatty Acids;animal;concentration (parameter);fluorocarbon;nonhuman;unclassified drug;bioaccumulation;environmental monitoring;perfluoro compound;Polyfluoroalkyl substances;water pollutant;Liquid chromatography;Mass spectrometry;fish;liquid chromatography-mass spectrometry;perfluorodecanoic acid;perfluorooctanesulfonic acid;perfluorooctanoic acid;Perfluorooctanoic acid;concentration (composition);South Korea;spatial variation;alkanesulfonic acid;water;Republic of Korea;organofluorine derivative;Perfluorinated alkyl substances;perfluoropentanoic acid;sediment;lake;Lakes;fatty acid;spatial analysis;air pollutant;soil pollutant;Soil Pollutants;Geologic Sediments;Sediments;Fishes;seasonal variation;Air Pollutants;Water;partition coefficient;Water Pollutants;Sediment;Chemical;alkyl ether;photodegradation;decomposition;Bioaccumulation factor;lake sediment;Poly-;polyfluoro compound;Water partition coefficients;river ecosystem;Environmental media;air sampling;Asan Bay;meteorology;perfluorinated alkyl substances (PFAS);Korea,NA,NA
