Initials_double_checker,Initials_data_extraction,Study_ID,Author_year,Note,Rd_ext,Rd_ext_done,Lm_done,Title,DOI,Journal,Study_design,Undetected_strategy_LOD,Undetected_strategy_LOD_comment,Undetected_strategy_LOQ,Undetected_strategy_LOQ_comment,Censored_data_strategy,TEF,TEF_unit_of_measurement,TEF_comment,TL_calculation_baseline,IFF,Linear_regression_formula,Linear_regression_formula_comment,Aggregation,Aggregation_comment,,,Study_comment
,LR,S_001,Kelly_2009,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Perfluoroalkyl contaminants in an Arctic marine food web: trophic magnification and wildlife exposure,10.1021/es9003894,Environmental Science & Technology,Observational. Field study.,not provided,"The study does not provide this information. It only states that ""Method detection limits (MDLs) were determined as 3 standard deviations (SD) above the mean blank levels. When analyte concentrations were nondetectable in blanks, the MDL was set equal to the instrument detection limit (IDL), determined from the analyte peak response with a signalto-noise ratio of 3. When analyte concentrations were detected in blanks, sample concentrations were blank corrected. C7-C14 PFCAs were occasionally observed in blanks, but at relatively low levels compared to extracted sample matrix.""",not provided,"The study does not provide this information. It only states that ""Method detection limits (MDLs) were determined as 3 standard deviations (SD) above the mean blank levels. When analyte concentrations were nondetectable in blanks, the MDL was set equal to the instrument detection limit (IDL), determined from the analyte peak response with a signalto-noise ratio of 3. When analyte concentrations were detected in blanks, sample concentrations were blank corrected. C7-C14 PFCAs were occasionally observed in blanks, but at relatively low levels compared to extracted sample matrix.""",Not provided,3.8,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_002,Simmonet-Laprade_2019,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Investigation of the spatial variability of poly-and perfluoroalkyl substance trophic magnification in selected riverine ecosystems,10.1016/j.scitotenv.2019.05.461,Science of the Total Environment,Observational. Field study.,the limit value divided by two,"""These approaches may help limit the bias generated by the substitution of non-detect data by an arbitrary value such as LOD/2 (Helsel, 2012)""",not provided,NA,The LOD value divided by two,3.4,‰,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_003,Fang_2014,It provides slope and standard error. It only provides slope and p-value for some compounds.,No,NA,NA,"Trophic magnification and isomer fractionation of perfluoroalkyl substances in the food web of Taihu Lake, China",10.1021/es405018b,Environmental Science & Technology,Observational. Field study.,zero,"""...while those not detected were reported as n.d. (not detected), and zero was assigned for statistical purpose.""",the limit value divided by the square root of two,"""Concentrations lower than MDLs were replaced with MDLs divided by the square root of 2""",Zero for values < LOD. The LOQ value divided by the square root of two for values < LOQ.,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_004,Mazzoni_2020,"It provides slope and standard error for one compound. For other compounds we extracted the raw data (i.e., PFAS concentrations and trophic levels) from Table S5.",Yes,Yes,Yes,"Trophic Magnification of Legacy (PCB, DDT and Hg) and Emerging Pollutants (PFAS) in the Fish Community of a Small Protected Southern Alpine Lake (Lake Mergozzo, Northern Italy)",10.3390/w12061591,Water,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,"""TMFs have been derived for those substances that have more than 90% of the measured data (i.e., concentration > Limit of Quantification (LOQ)). Censored data were substituted by 1/2 LOQ.""",The LOQ value divided by two,3.4,NA,NA,2,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_005,Houde_2006,It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.,No,NA,NA,Biomagnification of perfluoroalkyl compounds in the bottlenose dolphin (Tursiops truncatus) food web,10.1021/es060233b,Environmental Science & Technology,Observational. Field study.,random numbers below half of the MDL,"""For calculation of means, nondetect values were replaced with random numbers below half of the MDL.""",not provided,The study does not provide this information.,Random numbers below half of the MDL,3.8,NA,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_006,Houde_2008,It provides slope and standard error of the antilog of the slope. We calculated the slopes' standard error using Taylor's expantion method.,No,NA,NA,Fractionation and bioaccumulation of perfluorooctane sulfonate (PFOS) isomers in a Lake Ontario food web,10.1021/es800906r,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,""" Nondetectable concentrations were replaced with 1/2 the detection limit of 0.98 ng/g ww (for L-PFOS) in order to calculate means.""",not provided,The study does not provide this information.,The LOD value divided by two,NA,NA,NA,na,No,log[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_007,Tomy_2009,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Trophodynamics of some PFCs and BFRs in a western Canadian Arctic marine food web,10.1021/es900162n,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"""For calculation of mean concentrations, a concentration of ½ of the MDLs was assumed in  those instances where the PFCs (and BFRs) were undetectable in the samples.""",not provided,The study does not provide this information.,The MDL value divided by two,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_008,Tomy_2004,It provides slope and p-value.,No,NA,NA,Fluorinated organic compounds in an eastern Arctic marine food web,10.1021/es049620g,Environmental Science & Technology,Observational. Field study.,the limit value divided by two,"""For calculation of mean concentrations, a concentration of half of the MDLs was assumed in those instances that PFOS and PFOA were below MDLs.""",not provided,The study does not provide this information.,The MDL value divided by two,3.8,‰,NA,3,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_009,Loi_2011,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Trophic magnification of poly-and perfluorinated compounds in a subtropical food web,10.1021/es200432n,Environmental Science & Technology,Observational. Field study.,not provided,The study does not provide this information.,the limit value divided by two,"""Corresponding half of the LOQ values were used for calculation if the concentrations of the samples were below LOQ"", Table S4",The LOQ value divided by two,3.8,‰,NA,2,No,ln[PFAS] = TL(slope) + intercept,NA,No,NA,,,NA
,LR,S_010,Munoz_2017,It provides slope and CIs values. We calculated the slope's standard error from CIs.,No,NA,NA,Evidence for the trophic transfer of perfluoroalkylated substances in a temperate macrotidal estuary,10.1021/acs.est.7b02399,Environmental Science & Technology,Observational. Field study.,the limit value divided by two or detection frequency multiplied by the limit value or imputation,"""traditional substitution techniques (substitution of nondetects by either 0.5 × LOD or detection frequency [DF] × LOD) and an alternative approach based on linear mixed-effect models with censored responses (LMEC)."" From Figure 4.",not provided,The study does not provide this information.,The LOD value divided by two or detection frequency multiplied by LOD value or imputation,3.4,‰,NA,2,Yes,log[PFAS] = TL(slope) + intercept,"TL calculations also include a ""α"", which is ""a coefficient used to adjust the relative importance of each nitrogen food source for a given consumer, derived in our case from the known feeding ecology of fish from the Gironde estuary food web (see Table S8).""",No,NA,,,NA
