,filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
1,5_Martin_2004.png,ln FOSA,species1,-1.757847534,NA,NA,NA,0.143497758,se,mean_error
2,5_Martin_2004.png,ln FOSA,species2,-2.116591928,NA,NA,NA,0,se,mean_error
3,5_Martin_2004.png,ln FOSA,species3,-5.919282511,NA,NA,NA,0.771300448,se,mean_error
4,5_Martin_2004.png,ln FOSA,species4,-1.97309417,NA,NA,NA,0,se,mean_error
5,5_Martin_2004.png,ln FOSA,species5,-2.708520179,NA,NA,NA,0.304932735,se,mean_error
6,5_Martin_2004.png,ln FOSA,species6,-4.502242152,NA,NA,NA,1.112107623,se,mean_error
1,5_Martin_2004_1r.png,TL,species1,3.238419373,NA,NA,NA,0,se,mean_error
2,5_Martin_2004_1r.png,TL,species2,3.48169616,NA,NA,NA,0,se,mean_error
3,5_Martin_2004_1r.png,TL,species3,3.990117312,NA,NA,NA,0,se,mean_error
4,5_Martin_2004_1r.png,TL,species4,4.003784547,NA,NA,NA,0,se,mean_error
5,5_Martin_2004_1r.png,TL,species5,4.315397511,NA,NA,NA,0,se,mean_error
6,5_Martin_2004_1r.png,TL,species6,4.84568624,NA,NA,NA,0,se,mean_error
