Study_ID,filename,variable,group_id,mean,sd,se,error_type,plot_type,software,note
S_052,Cara_2022_1.png,PFOA,"PFOA, species1, location 5",1.213181551,0.487084556,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species2, location 5",1.298822791,0.133814438,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species3, location 5",1.009783604,0.04282062,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species4, location 5",1.041899069,0.155224749,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species5, location 5",0.977668139,0.074936086,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species1, location 8",1.571804246,0.321154652,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species2, location 8",1.373758877,0.224808257,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species3, location 8",0.961610406,0.06423093,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species4, location 8",1.116835155,0.192692791,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species5, location 8",1.015136182,0.096346396,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species6, location 8",0.961610406,0.080288663,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species1, location 4",1.577156823,0.385385583,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species2, location 4",2.021420759,0.824296941,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species3, location 4",1.534336203,0.594136107,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species4, location 4",1.218534128,0.251571144,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species5, location 4",0.961610406,0.04282062,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,PFOA,"PFOA, species6, location 4",0.934847519,0.04282062,NA,sd,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species1, location 5",2.595814978,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species2, location 5",2.645374449,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species3, location 5",3.101321586,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species4, location 5",3.299559471,NA,NA,NA,mean_error,metaDigitise,NA
S_052,Cara_2022_1.png,TL,"PFOA, species5, location 5",3.5969163,NA,NA,NA,mean_error,metaDigitise,NA
